,Concept_ID,kn,mrj
450,Stadt::N,ಪಟ್ಟಣ,города
451,Brief::N,ಕಾಗದ,сирмӓш
452,Buch::N,ಪುಸ್ತಕ,книгӓ
453,Buchstabe::N,ಅಕ್ಷರ,буква́
454,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,газет
455,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,кайзет
456,Leben::N,ಜೀವನ,житя
457,Tod::N,ಮರಣ,смöрт
458,Grab::N,ಗೋರಿ,шӹгер
459,Grab::N,ಗೋರಿ,мыгилӓ
460,Grab::N,ಗೋರಿ,шӹгерлӓ
461,Kirche::N,ಚರ್ಚು,церкӹ
462,Sünde::N,ಪಾಪ,сулык
463,Gott::N,ದೇವರು,йымы
464,Arbeiter::N,ಕೆಲಸಗಾರ,пӓшӓзӹ
465,Chef::N,ದಣಿ,вуй
466,Meister::N,ಶಿಕ್ಷಕ,мастар
467,Arzt::N,ವೈದ್ಯ,доктор
468,Lehrer::N,ಉಪಾಧ್ಯಾಯ,тымдышы
469,Geld::N,ಹಣ,окса
470,Geschäft::N,ವಾಣಿಜ್ಯ,торге́йӹмӓш
471,Laden::N,ಅಂಗಡಿ,лапка
472,Laden::N,ಅಂಗಡಿ,магазин
473,Preis::N,ಬೆಲೆ,ӓк
474,Ware::N,ಸರಕು,товар
475,Nutzen::N,ಲಾಭ,пайда
476,Reichtum::N,ಸಂಪತ್ತು,перке
477,Welt::N,ಭೂಲೋಕ,сӓндӓлӹк
478,Welt::N,ಭೂಲೋಕ,свет
479,Land::N,ದೇಶ,сӓндӓлӹк
480,Staat::N,ರಾಜ್ಯ,кугижӓншӹ
481,König::N,ರಾಜ,король
482,Macht::N,ಅಧಿಕಾರ,власть
483,Grenze::N,ಗಡಿ,пӹсмӓн
484,Krieg::N,ಯುದ್ಧ,вырсы
485,Feind::N,ಶತ್ರು,тышман
486,Gewalt::N,ಹಿಂಸೆ,ви
487,Kampf::N,ಹೋರಾಟ,кредӓлмӓш
488,Bogen[Waffe]::N,ಬಿಲ್ಲು,янгеж
489,Pfeil::N,ಅಂಬು,пикш
490,Gewehr::N,ಬಂದೂಕು,пичӓл
491,Fehler::N,ತಪ್ಪು,самынь
492,Lüge::N,ಸುಳ್ಳು,шая
493,Schaden::N,ಹಾನಿ,вре́дӓ
