,Concept_ID,os,hu
177,Maus::N,мыст,egér
178,Wolf::N,бирӕгъ,farkas
179,Vogel::N,цъиу,madár
180,Vogel::N,маргъ,madár
181,Schwarm::N,бал,raj
182,Huhn::N,карк,tyúk
183,Hahn::N,уасӕг,kakas
184,Gans::N,хъаз,lúd
185,Gans::N,хъаз,liba
186,Adler::N,цӕргӕс,sas
187,Ente::N,ацц,kacsa
188,Eule::N, уыг,bagoly
189,Eule::N,сидахъ,bagoly
190,Kranich::N,зырнæг,daru
191,Kranich::N,хърихъупп,daru
192,Krähe::N,халон,varjú
193,Kuckuck::N,гаккук,kakukk
194,Schwan::N,доныхъаз,hattyú
195,Fisch::N,кӕсаг,hal
196,Barsch::N,окунь,sügér
197,Hecht::N,хихор кӕсаг,csuka
198,Schlange[Tier]::N,калм,kígyó
199,Wurm::N,зулкъ,kukac
200,Wurm::N,къуыдыргалм,kukac
201,Spinne::N,хӕлуарӕг,pók
202,Ameise::N,мæлдзыг,hangya
203,Laus::N,сыст,tetű
