,Concept_ID,sah,ady
594,schwarz::A,хара,шӏуцӏэ
595,weiß::A,үрүҥ,фыжьы́
596,weiß::A,маҥан,фыжьы́
597,rot::A,кыһыл,плъыжьы́
598,gelb::A,саһархай,гъожьы́
599,blau::A,күөх,шхъуантӏэ
600,grün::A,күөх,шхъуантӏэ
601,grün::A,от күөҕэ,шхъуантӏэ
602,grau::A,сиэрэй,шхъо
603,bunt::A,эриэн,къолэны
604,billig::A,чэпчэки,пыут
605,teuer::A,сыаналаах,сикӏа́с
606,teuer::A,сыаналаах,силъа́пӏ
607,wertvoll::A,сыаналаах,пкӏэ зиӏ
608,wertvoll::A,сыаналаах,уасэ́ зыфа́шӏ
609,blind::A,хараҕа суох,нэшъу́
610,taub::A,дьүлэй,дэгу
611,kräftig::A,модун,лъэ́ш
612,stark::A,күүстээх,лъэ́ш
613,schwach::A,мөлтөх,хъыбэй
614,fett::A,эмис,пщэры́
615,schlank::A,дьылҕан,ищыгъэ
616,schlank::A,дьыпсаҕай,ищыгъэ
617,hübsch::A,олус кэрэ,дахэ́
618,hübsch::A,көрүөхтэн үчүгэй,дахэ́
619,böse::A,өһүөннээх,ябгэ
620,dumm::A,акаары,делэ
621,faul::A,нэс,шъхьахы́нэ
622,fleißig::A,кыһамньылаах,егугъурэ
623,geizig::A,иҥсэлээх,тхьацэ
624,klug::A,өйдөөх,акъылышӏу́
625,geschickt::A,наһаа дьоҕурдаах,ӏэпэӏэсэ́
626,geschickt::A,наһаа дьоҕурдаах,шо́у шӏыгъэ́
627,lieb::A,тапталлаах,псэм фэд
628,lustig::A,көрдөөх,чэф
629,sanft::A,намчы,ӏушъа́б
630,sanft::A,сымнаҕас,ӏушъа́б
631,hungrig::A,аччык,гъаблэ́
632,krank::A,ыалдьар,сыма́дж
633,nackt::A,сыгынньах,пцӏанэ́
634,traurig::A,санаарҕабыллаах,нэшхъэй
635,lebendig::A,тыыннаах,
636,gut::A,үтүө,дэгъу́
637,gut::A,үчүгэй,дэгъу́
638,schlecht::A,куһаҕан,дэи
639,richtig::A,сөп,тэрэз
640,schlimm::A,сидьиҥ,щынэгъо
641,schlimm::A,быдьар,щынэгъо
642,wahr::A,кырдьык,шъыпкъэ́
643,alt::A,былыргы,жъы
644,neu::A,саҥа,кӏэ
645,ehemalig::A,урукку,-щтыгъэ
646,ehemalig::A,урукку,-гъэ
647,alt[Lebewesen]::A,кырдьаҕас,жъы
648,jung::A,эдэр,ныбжьыкӏэ́
649,arm::A,дьадаҥы,тхьамы́кӏ
650,reich::A,баай,бай
651,bekannt::A,билэр,нэӏуа́с
652,berühmt::A,аатырбыт,цӏэры́ӏу
