,Concept_ID,ro,ko
753,neu::A,nou,새
754,ehemalig::A,fost,전의
755,ehemalig::A,anterior,전의
756,alt[Lebewesen]::A,bătrîn,낡은
757,jung::A,tânăr,젊은
758,arm::A,sărac,가난한
759,arm::A,sărman,가난한
760,reich::A,avut,풍부한
761,reich::A,bogat,풍부한
762,bekannt::A,cunoscut,저명한
763,berühmt::A,renumit,유명한
764,fremd::A,străin,타처이
765,verschieden::A,diferit,따른
766,verschieden::A,deosebit,따른
767,nah::A,apropiat,가까운
768,fern::A,departe,먼
769,linker::A,stâng,왼쭉의
770,rechter::A,drept,오른쪽의
771,anderer::A,alt,다른
772,erster::A,prim,첫째
773,zweiter::A,al doilea,둘째
774,dritter::A,treilea,셋째
775,letzter::A,final,의후자의
776,allein::ADV,singur,훌로
777,auf einmal::ADV,dintrodată,갑자기
778,zusammen::ADV,împreună,모아서
779,lange::ADV,îndelung,오래
780,lange::ADV,mult timp,오래
781,plötzlich::ADV,deodată,둘연한
782,plötzlich::ADV,pe neașteptate,둘연한
783,sofort::ADV,imediat,즉시
784,sofort::ADV,numaidecît,즉시
785,später::ADV,mai apoi,보다늦은
786,später::ADV,mai târziu,보다늦은
787,jetzt::ADV,acum,목하
788,heute::ADV,azi,오늘
789,heute::ADV,astăzi,오늘
790,morgen::ADV,mâine,내일
791,bald::ADV,curând,곱
792,dann::ADV,apoi,그경우에
793,gestern::ADV,ieri,어제
794,einst::ADV,odată,옛날에
795,einst::ADV,odinioară,옛날에
796,damals::ADV,atunci,그때에
797,damals::ADV,pe atunci,그때에
798,danach::ADV,după aceasta,그 뒤에
799,vorher::ADV,mai întâi,미리
800,vorher::ADV,în prealabil,미리
801,zuerst::ADV,întâi,최초로
802,zuerst::ADV,în primul rând,최초로
803,einmal::ADV,odată,한번
804,manchmal::ADV,uneori,땓대로
805,manchmal::ADV,câteodată,땓대로
806,oft::ADV,des,땓대로
807,oft::ADV,deseori,땓대로
808,immer::ADV,mereu,늘
809,immer::ADV,întotdeauna,늘
810,niemals::ADV,niciodată,결코...(하지)않다
811,hier::ADV,aci,여기
812,hier::ADV,aici,여기
813,hierhin::ADV,încoace,여기로
814,von hier::ADV,de aici,
815,dort::ADV,acolo,거기
816,dorthin::ADV,dincolo,저기예
817,geradeaus::ADV,drept înainte,곧장
818,vorwärts::ADV,înainte,앞으로
819,rückwärts::ADV,îndărăt,뒤로
820,zurück::ADV,înapoi,제자리로
821,unten::ADV,jos,아래에
822,unten::ADV,dedesubt,아래에
823,hinab::ADV,în jos,아래쪽으로
824,hinab::ADV,de vale,아래쪽으로
825,oben::ADV,sus,위에
826,oben::ADV,deasupra,위에
827,hinauf::ADV,în sus,위쪽으로
828,überall::ADV,peste tot,도처에
829,überall::ADV,pretutindeni,도처에
830,nicht::ADV,nu,안
831,ein wenig::ADV,puțin,적음
832,kaum::ADV,cu greu,가의
833,kaum::ADV,cu anevoie,가의
834,sehr::ADV,mult,자주
835,sehr::ADV,foarte,자주
836,so::ADV,așa,그와같이
837,so::ADV,atât,그와같이
838,noch::ADV,încă,아직
839,nur::ADV,doar,다만
840,schon::ADV,și,이미
841,schon::ADV,deja,이미
842,wieder::ADV,iar,다시
843,wieder::ADV,iarăși,다시
844,vergebens::ADV,în zadar,헛되이
845,vor::PRP,înainte de,앞에
846,hinter::PRP,după,뒤에
847,hinter::PRP,în spatele,뒤에
848,unter::PRP,sub,잍에
849,durch::PRP,prin,통고하여
