,Concept_ID,mrj,br
617,bunt::A,ала,liesliv
618,billig::A,шулдаш,marc'had-mat
619,teuer::A,шергӹ,ker
620,teuer::A,шергӓкӓн,ker
621,wertvoll::A,ӓкӓн,prizius
622,blind::A,слöпöй,dall
623,blind::A,сльöпöй,dall
624,taub::A,тӱтӱк,bouzar
625,kräftig::A,виӓн,start
626,stark::A,виӓн,kreñv
627,schwach::A,шава,gwan
628,schwach::A,лӹпкӓ,gwan
629,schwach::A,слабка,gwan
630,fett::A,таза,lard
631,schlank::A,яштака,sinkl
632,hübsch::A,сӹлнӹ,koant
633,hübsch::A,олмыдшы,koant
634,böse::A,шӹдӓн,gwall
635,dumm::A,окмак,glep
636,faul::A,ялахай,lezirek
637,fleißig::A,пӓшам яратышы,studius
638,geizig::A,шык,tost
639,klug::A,ышан,speredek
640,geschickt::A,мастар,dornet
641,lieb::A,тыри,koant
642,lustig::A,мындыр,laouen
643,lustig::A,сусу,laouen
644,sanft::A,йӹвӹжӓ,flour
645,hungrig::A,шужышы,marnaon
646,krank::A,церлӹ,klañv
647,krank::A,хворой,klañv
648,nackt::A,цӓрӓ,noazh
649,traurig::A,сы́лыкан,trist
650,traurig::A,кымы́лдымы,trist
651,lebendig::A,живой,bev
652,gut::A,яжо,mad
653,schlecht::A,уда,fall
654,schlecht::A,уда,gwall
655,schlecht::A,худа,fall
656,schlecht::A,худа,gwall
657,richtig::A,вургамла,reizh
658,schlimm::A,йӹрнык,gwall
659,wahr::A,настоящий,gwir
660,wahr::A,настояшый,gwir
661,alt::A,шонгы,kozh
662,neu::A,у,nevez
663,ehemalig::A,тошты,kozh
664,alt[Lebewesen]::A,ӹлалшӹ,kozh
665,jung::A,нöргӹ,yaouank
666,jung::A,молода,yaouank
667,arm::A,укеӓн,paour
668,reich::A,паян,pinvidik
669,reich::A,пурлыкан,pinvidik
670,bekannt::A,палӹмӹ,anavezet
671,berühmt::A,лӹмлы,brudet
672,fremd::A,эдемӹн,dizanav
673,verschieden::A,тӹрлӹ,disheñel
674,nah::A,лишӹл,nes
675,fern::A,мӹндӹр,diabell
676,linker::A,шалахай,kleiz
677,rechter::A,вургамла,dehoù
678,anderer::A,вес,all
679,anderer::A,весӹ,all
680,erster::A,икшӹ,kentañ
681,erster::A,икӹмшӹ,kentañ
682,zweiter::A,кокшы,eil
683,dritter::A,кымшы,trede
684,letzter::A,остатка,diwezhañ
685,allein::ADV,иктӹ,e-unan
686,allein::ADV,иктӹт,e-unan
687,auf einmal::ADV,тöрöк,ar un dro
688,zusammen::ADV,икараш,asambles
689,zusammen::ADV,цымырын,asambles
690,lange::ADV,кужын,pell
691,plötzlich::ADV,трӱк,en un taol
692,sofort::ADV,полт,diouzhtu
693,sofort::ADV,тöрöк,diouzhtu
694,sofort::ADV,тӹшӓкок,diouzhtu
695,später::ADV,вара,diwezhatoc'h
696,heute::ADV,тагачы,hiziv
697,morgen::ADV,иргод,arc'hoazh
698,morgen::ADV,иргодым,arc'hoazh
699,bald::ADV,чӹнь,hepdale
700,bald::ADV,вӓшке,hepdale
701,bald::ADV,выртышты,hepdale
702,dann::ADV,пакыла,a-c'houde
703,gestern::ADV,тенгечӹ,dec'h
704,einst::ADV,икӓнӓ,gwechall
705,damals::ADV,тӹнӓм,neuze
706,danach::ADV,пакыла,goude
707,vorher::ADV,перви,diagent
708,zuerst::ADV,андак,da gentañ
709,einmal::ADV,гӓнӓк,ur wech
710,einmal::ADV,гӓнӓ,ur wech
711,manchmal::ADV,кынамжы,a-wechoù
712,oft::ADV,чӹчкӹдӹн,alies
713,immer::ADV,со,atav
714,immer::ADV,со,bepred
715,immer::ADV,соок,atav
716,immer::ADV,соок,bepred
717,niemals::ADV,нинам,gwech ebet
718,niemals::ADV,нигынам,gwech ebet
719,niemals::ADV,нигынамат,gwech ebet
720,hier::ADV,тиштӹ,amañ
721,hierhin::ADV,тишкӹ,dre amañ
722,von hier::ADV,тишец,alemañ
723,von hier::ADV,тишецӹн,alemañ
724,dort::ADV,тӹштӹ,aze
725,dort::ADV,тӹштӹ,ahont
726,dorthin::ADV,тӹшкӹ,di
727,dorthin::ADV,тӹшкӹ,aze
728,dorthin::ADV,тӹшкӹ,ahont
729,dorthin::ADV,тӹшкӹлӓ,di
730,dorthin::ADV,тӹшкӹлӓ,aze
731,dorthin::ADV,тӹшкӹлӓ,ahont
732,geradeaus::ADV,вик,war-eeun
733,geradeaus::ADV,тура,war-eeun
734,vorwärts::ADV,анзыкы,war-raok
735,rückwärts::ADV,мӹнгеш,war-lerc'h
736,zurück::ADV,мӹнгеш,war-dreñv
737,unten::ADV,ӱлнӹ,en traoñ
738,unten::ADV,лӹвӓлнӹ,en traoñ
739,hinab::ADV,ӱлӹкӹ,a-izel
740,hinab::ADV,лӹвӓкӹ,a-izel
741,oben::ADV,вӹлнӹ,en nec'h
742,hinauf::ADV,кӱшкӹлӓ,e-krec'h
743,hinauf::ADV,кӱш,e-krec'h
744,überall::ADV,йӹлт,dre-holl
