,Concept_ID,zh,hr
819,dies::PRN,这,ovo
820,das::PRN,那,to
821,das::PRN,那,ono
822,alles::PRN,一切,sve
823,ich::PRN,我,ja
824,du::PRN,你,ti
825,er::PRN,他,on
826,wir::PRN,我们,mi
827,ihr::PRN,你们,vi
828,sie::PRN,她,oni
829,was::FPRN,什么,što
830,wer::FPRN,谁,tko
831,wo::FADV,哪里,gdje
832,wohin::FADV,去哪里,kuda
833,wohin::FADV,去哪里,kamo
834,wie::FADV,怎么,kako
835,warum::FADV,为什么,zašto
836,wieviel::FNUM,多少,koliko
837,eins::NUM,一,jedan
838,zwei::NUM,二,dva
839,drei::NUM,三,tri
840,vier::NUM,四,četiri
841,fünf::NUM,五,pet
842,sechs::NUM,六,šest
843,sieben::NUM,七,sedam
844,acht::NUM,八,osam
845,neun::NUM,九,devet
846,zehn::NUM,十,deset
847,elf::NUM,十一,jedanaest
848,zwölf::NUM,十二,dvanaest
849,zwanzig::NUM,二十,dvadeset
850,dreißig::NUM,三十,trideset
851,vierzig::NUM,四十,četrdeset
852,fünfzig::NUM,五十,pedeset
853,sechzig::NUM,六十,šezdeset
854,siebzig::NUM,七十,sedamdeset
855,achtzig::NUM,八十,osamdeset
856,neunzig::NUM,九十,devetdeset
857,hundert::NUM,百,sto
858,tausend::NUM,千,tisuća
859,und::CNJ,和,i
860,und::CNJ,和,te
