,Concept_ID,de,da
595,fern::A,fern,fjern
596,linker::A,linker,venstre
597,rechter::A,rechter,højre
598,anderer::A,anderer,anden
599,erster::A,erster,første
600,zweiter::A,zweiter,anden
601,dritter::A,dritter,tredje
602,letzter::A,letzter,sidste
603,allein::ADV,allein,alene
604,auf einmal::ADV,auf einmal,på én gang
605,zusammen::ADV,zusammen,sammen
606,lange::ADV,lange,længe
607,plötzlich::ADV,plötzlich,pludselig
608,sofort::ADV,sofort,straks
609,später::ADV,später,senere
610,jetzt::ADV,jetzt,nu
611,heute::ADV,heute,i dag
612,morgen::ADV,morgen,i morgen
613,bald::ADV,bald,snart
614,dann::ADV,dann,så
615,gestern::ADV,gestern,i går
616,einst::ADV,einst,engang
617,damals::ADV,damals,dengang
618,danach::ADV,danach,derefter
619,vorher::ADV,vorher,før
620,vorher::ADV,vorher,forud
621,zuerst::ADV,zuerst,først
622,einmal::ADV,einmal,en gang
623,manchmal::ADV,manchmal,sommetider
624,oft::ADV,oft,ofte
625,immer::ADV,immer,altid
626,niemals::ADV,niemals,aldrig
627,hier::ADV,hier,her
628,hierhin::ADV,hierhin,hid
629,hierhin::ADV,hierhin,herhen
630,von hier::ADV,von hier,herfra
631,dort::ADV,dort,der
632,dorthin::ADV,dorthin,derhen
633,geradeaus::ADV,geradeaus,lige ud
634,vorwärts::ADV,vorwärts,fremad
635,rückwärts::ADV,rückwärts,baglæns
636,zurück::ADV,zurück,tilbage
637,unten::ADV,unten,nede
638,unten::ADV,unten,forneden
639,hinab::ADV,hinab,ned
640,hinab::ADV,hinab,nedad
641,oben::ADV,oben,oppe
642,oben::ADV,oben,ovenpå
643,hinauf::ADV,hinauf,op
644,hinauf::ADV,hinauf,opad
645,überall::ADV,überall,overalt
646,nicht::ADV,nicht,ikke
647,ein wenig::ADV,ein wenig,lidt
648,kaum::ADV,kaum,knap
649,kaum::ADV,kaum,næppe
650,sehr::ADV,sehr,meget
651,so::ADV,so,så
652,noch::ADV,noch,endnu
653,nur::ADV,nur,kun
654,nur::ADV,nur,bare
655,schon::ADV,schon,alt
656,schon::ADV,schon,allerede
657,wieder::ADV,wieder,igen
658,vergebens::ADV,vergebens,forgæves
659,vor::PRP,vor,foran
660,vor::PRP,vor,uden for
661,hinter::PRP,hinter,bag
662,hinter::PRP,hinter,bagved
663,unter::PRP,unter,under
664,durch::PRP,durch,gennem
665,durch::PRP,durch,igennem
666,neben::PRP,neben,ved siden af
667,zwischen::PRP,zwischen,mellem
668,wegen::PRP,wegen,på grund af
669,dies::PRN,dies,dette
670,das::PRN,das,det
671,alles::PRN,alles,alt
672,ich::PRN,ich,jeg
673,du::PRN,du,du
674,er::PRN,er,han
675,wir::PRN,wir,vi
676,ihr::PRN,ihr,I
677,sie::PRN,sie,de
678,was::FPRN,was,hvad
679,wer::FPRN,wer,hvem
680,wo::FADV,wo,hvor
681,wohin::FADV,wohin,hvorhen
682,wie::FADV,wie,hvordan
