,Concept_ID,mn,da
405,Kiste::N,хайрцаг,kasse
406,Fenster::N,гэгээвч,vindue
407,Tür::N,үүд,dør
408,Tür::N,хаалга,dør
409,Tor::N,хаалга,port
410,Zaun::N,хашаа,stakit
411,Dach::N,дээвэр,tag
412,Leiter::N,шат,stige
413,Besen::N,хамуур,kost
414,Besen::N,туужуу,kost
415,Spaten::N,хүрз,spade
416,Schaufel::N,хүрз,skovl
417,Gabel::N,сэрээ,gaffel
418,Löffel::N,халбага,ske
419,Messer::N,хутга,kniv
420,Nagel::N,хадаас,søm
421,Netz::N,өөш,net
422,Netz::N,тор,net
423,Haken::N,гох,krog
424,Griff::N,иш,tag
425,Griff::N,иш,håndtag
426,Griff::N,сэнж,tag
427,Griff::N,сэнж,håndtag
428,Schloss::N,цуурга,lås
429,Schloss::N,цоож,lås
430,Bild::N,зураг,billede
431,Figur::N,баримал,figur
432,Puppe::N,хүүхэлдэй,dukke
433,Beutel::N,агсаа,pose
434,Beutel::N,уут,pose
435,Bündel::N,боодол,bylt
436,Bündel::N,боодол,bundt
437,Tasche::N,цүнх,taske
438,Eimer::N,хөнөг,spand
