,Concept_ID,sq,ba
694,krank::A,sëmurë,сирле
695,krank::A,sëmurë,ауырыу
696,nackt::A,lakuriq,яланғас
697,nackt::A,zhveshur,яланғас
698,traurig::A,trishtuar,яманһыу
699,lebendig::A,gjallë,тере
700,lebendig::A,gjallë,йәнле
701,gut::A,mirë,яҡшы
702,schlecht::A,keq,хөрт
703,schlecht::A,keq,алама
704,richtig::A,drejtë,дөрөҫ
705,schlimm::A,keq,хөрт
706,schlimm::A,keq,алама
707,wahr::A,vërtetë,дөрөҫ
708,alt::A,vjetër,иҫке
709,alt::A,vjetër,боронғо
710,neu::A,i ri,яңы
711,ehemalig::A,dikurshëm,элекке
712,alt[Lebewesen]::A,plak,ҡарт
713,jung::A,i ri,йәш
714,arm::A,varfër,фәҡир
715,arm::A,vobektë,фәҡир
716,reich::A,pasur,бай
717,bekannt::A,njohur,таныш
718,berühmt::A,famshëm,атаҡлы
719,berühmt::A,famshëm,данлыҡлы
720,fremd::A,huaj,ят
721,fremd::A,huaj,сит
722,verschieden::A,ndryshëm,төрлө
723,nah::A,afërt,яҡын
724,fern::A,largët,алыҫ
725,fern::A,largët,йыраҡ
726,linker::A,majtë,һул
727,rechter::A,djathtë,уң
728,anderer::A,tjetër,бутән
729,erster::A,parë,тәүге
730,zweiter::A,dytë,икенсе
731,dritter::A,i tretë,өсөнсө
732,letzter::A,fundit,һуңғы
733,allein::ADV,vetëm,бер үҙе
734,allein::ADV,vetëm,яңғыҙ
735,auf einmal::ADV,njëkohësisht,бер юлы
736,zusammen::ADV,bashkë,бергә
737,zusammen::ADV,së bashku,бергә
738,lange::ADV,për një kohë të gjatë,оҙаҡ
739,plötzlich::ADV,befas,ҡапыл
740,sofort::ADV,menjëherë,шунда уҡ
741,sofort::ADV,aty për aty,шунда уҡ
742,später::ADV,më vonë,һуңыраҡ
743,jetzt::ADV,tash,хәҙер
744,heute::ADV,sot,бөгөн
745,morgen::ADV,nesër,иртәгә
746,bald::ADV,shpejt,тиҙҙән
747,bald::ADV,së shpejti,тиҙҙән
748,dann::ADV,pastaj,һуңынан
749,gestern::ADV,dje,кисә
750,einst::ADV,dikur,ҡасандыр
751,einst::ADV,dikur,бер баҡыт
752,damals::ADV,atëherë,ул саҡта
753,danach::ADV,mandej,һуңынан
