,Concept_ID,ja,sk
784,unten::ADV,下に,dolu
785,unten::ADV,下に,naspodku
786,hinab::ADV,下へ,dolu
787,oben::ADV,上に,hore
788,oben::ADV,上に,navrchu
789,hinauf::ADV,上へ,hore
790,hinauf::ADV,上へ,navrch
791,überall::ADV,どこでも,všade
792,nicht::ADV,ない,nie
793,ein wenig::ADV,少し,trocha
794,ein wenig::ADV,ちょっと,trocha
795,kaum::ADV,ほとんど～ない,ledva
796,sehr::ADV,とても,veľmi
797,so::ADV,こう,tak
798,so::ADV,こう,takto
799,noch::ADV,まだ,ešte
800,nur::ADV,～だけ,len
801,schon::ADV,もう,už
802,wieder::ADV,再び,zasa
803,vergebens::ADV,無駄に,márne
804,vergebens::ADV,無駄に,nadarmo
805,vor::PRP,前に,pred
806,hinter::PRP,後ろに,za
807,unter::PRP,下に,pod
808,durch::PRP,通して,cez
809,neben::PRP,横に,pri
810,neben::PRP,横に,vedľa
811,zwischen::PRP,間に,medzi
812,wegen::PRP,為に,pre
813,wegen::PRP,為に,kvôli
814,wegen::PRP,せいで,pre
815,wegen::PRP,せいで,kvôli
816,dies::PRN,これ,to
817,dies::PRN,これ,táto
818,das::PRN,それ,to
819,alles::PRN,全部,všetko
820,ich::PRN,私,ja
821,du::PRN,あなた,ty
822,er::PRN,彼,on
823,wir::PRN,私達,my
824,ihr::PRN,あなた達,vy
825,sie::PRN,彼ら,oni
826,was::FPRN,何,čo
827,wer::FPRN,誰,kto
828,wer::FPRN,どなた,kto
829,wo::FADV,どこ,kde
830,wo::FADV,どこに,kde
831,wohin::FADV,どこへ,kam
832,wie::FADV,どう,ako
833,warum::FADV,何故,prečo
834,warum::FADV,どうして,prečo
835,wieviel::FNUM,どのくらい,koľko
836,eins::NUM,一,jeden
837,zwei::NUM,二,dva
838,zwei::NUM,二つ,dva
839,drei::NUM,三,tri
840,drei::NUM,三つ,tri
841,vier::NUM,四,štyri
842,vier::NUM,四つ,štyri
843,fünf::NUM,五,päť
844,fünf::NUM,五つ,päť
