,Concept_ID,lt,sl
756,fremd::A,svetimas,túj
757,verschieden::A,įvairus,razlíčen
758,nah::A,artimas,blížnji
759,fern::A,tolimas,dáleč
760,linker::A,kairys,lévi
761,rechter::A,dešinys,désni
762,anderer::A,kitas,drúgi
763,erster::A,pirmas,pŕvi
764,zweiter::A,antras,drúgi
765,dritter::A,trečias,trétji
766,letzter::A,paskutinis,poslédnji
767,allein::ADV,vienas,sám
768,auf einmal::ADV,iš karto,obênem
769,zusammen::ADV,kartu,skúpaj
770,zusammen::ADV,drauge,skúpaj
771,lange::ADV,ilgai,dólgo
772,plötzlich::ADV,staiga,náglo
773,plötzlich::ADV,staiga,nenádoma
774,sofort::ADV,tuojau,prècej
775,später::ADV,vėliau,poznêje
776,später::ADV,paskiau,poznêje
777,jetzt::ADV,dabãr,zdàj
778,heute::ADV,šiandien,dánes
779,morgen::ADV,rytoj,jútri
780,bald::ADV,greitai,kmálu
781,bald::ADV,netrukus,kmálu
782,dann::ADV,po to,nató
783,gestern::ADV,vakar,včéraj
784,einst::ADV,kadaise,nékdaj
785,einst::ADV,kitą kartą,nékdaj
786,damals::ADV,anuomet,tedàj
787,damals::ADV,anuomet,takràt
788,damals::ADV,anuokart,tedàj
