,Concept_ID,sq,mrj
427,Haken::N,grremç,крӱк
428,Haken::N,grremç,кагак
429,Griff::N,dorak,кычем
430,Griff::N,dorezë,кычем
431,Schloss::N,bravë,замок
432,Schloss::N,bravë,сыравач
433,Bild::N,tablo,картин
434,Bild::N,pikturë,картин
435,Figur::N,figurë,кӓн
436,Puppe::N,kukull,поханя
437,Beutel::N,qese,мешӓк
438,Beutel::N,trastë,мешӓк
439,Bündel::N,deng,топ
440,Bündel::N,deng,пидӹш
441,Bündel::N,deng,кӹлдӹш
442,Tasche::N,çantë,сумкы
443,Eimer::N,kovë,ведӹрӓ
444,Deckel::N,kapak,комдыш
445,Deckel::N,mbulesë,комдыш
446,Geschirr::N,enë,ӓтӹ
447,Sack::N,thes,мешӓк
448,Sack::N,torbë,мешӓк
449,Tasse::N,filxhan,цӓшкӓ
450,Topf::N,kusi,ми́ска
451,Topf::N,tenxhere,ми́ска
452,Kessel::N,kazan,пад
453,Essen::N,ngrënie,качкыш
454,Essen::N,ngrënie,качкыш-йӱш
455,Nahrung::N,ushqim,качкыш
456,Nahrung::N,ushqim,качкыш-йӱш
457,Speise::N,gatesë,няня
458,Fleisch::N,mish,пай
459,Getreide::N,drithë,киндӹ
460,Brei::N,qull,шӹрӓш
461,Brot::N,bukë,сыкыр
462,Scheibe::N,fetë,ламыт
463,Scheibe::N,fetë,лаштык
464,Fett::N,lyrë,кая
465,Fett::N,yndyrë,кая
466,Butter::N,gjalpë,ӱ
467,Öl::N,vaj,ӱ
468,Salz::N,kripë,санзал
469,Suppe::N,supë,лем
470,Suppe::N,çorbë,лем
471,Honig::N,mjaltë,мӱ
472,Milch::N,qumësht,шӹшер
473,Tee::N,çaj,чӓй
474,Leder::N,lëkurë,шарга
475,Leder::N,lëkurë,кавашты
476,Wolle::N,lesh,миж
477,Stoff::N,pëlhurë,матер
478,Stoff::N,pëlhurë,матери
479,Nadel::N,gjilpërë,им
480,Faden::N,pe,шӹртӹ
481,Faden::N,fije,шӹртӹ
482,Knopf::N,kopsë,полдыш
483,Knoten::N,komb,пӱкшем
484,Farbe::N,bojë,чиӓ
485,Farbe::N,bojë,крӓскӓ
486,Kleidung::N,veshje,выргем
487,Hemd::N,këmishë,тыгыр
488,Kragen::N,jakë,шӱ
489,Ärmel::N,mëngë,шокш
490,Hose::N,brekë,ялаш
491,Gürtel::N,rrip,ӹштӹ
492,Mütze::N,kësulë,упш
493,Schuh::N,këpucë,ту́фльы
494,Stiefel::N,çizme,кем
495,Ring::N,unazë,шӓргӓш
496,Band::N,shirit,лемтӓ
497,Kamm::N,krehër,шерге
498,Spiegel::N,pasqyrë,тӹгӹр
499,Riemen::N,rrip,прӓжӓ
500,Schnur::N,litar,кӓндӹра
501,Schnur::N,cikomë,кӓндӹра
502,Leine::N,rrip,керем
503,Decke::N,batanije,одеял
504,Kissen::N,jastëk,кӹпцӹк
505,Tuch::N,shami,савыц
506,Handtuch::N,peshqir,шӹргӹсавыц
507,Handtuch::N,peshqir,шӹргӹмсавыц
508,Kraft::N,forcë,ви
509,Stärke::N,koll,ви
510,Gesundheit::N,shëndet,шу
511,Gesundheit::N,shëndet,шулык
512,Krankheit::N,sëmundje,мыж
513,Schmerz::N,dhimbje,карштыш
514,Wunde::N,plagë,шушыр
515,Fieber::N,ethe,ӱштӹмыж
516,Arznei::N,ilaç,лекӓрцӹ
517,Brücke::N,urë,кӹвер
518,Brunnen::N,pus,вӹдсӹнзӓ
519,Weide::N,kullotë,ныр
520,Pfad::N,ravë,ялгорны
521,Pfad::N,shteg,ялгорны
522,Weg::N,udhë,корны
523,Weg::N,shteg,корны
524,Straße::N,rrugë,корны
525,Dorf::N,fshat,сола
526,Dorf::N,katund,сола
527,Stadt::N,qytet,города
528,Brief::N,letër,сирмӓш
529,Buch::N,libër,книгӓ
530,Buchstabe::N,shkronjë,буква́
531,Zeitung::N,gazetë,газет
532,Zeitung::N,gazetë,кайзет
533,Leben::N,jetë,житя
534,Tod::N,mortje,смöрт
535,Grab::N,varr,шӹгер
536,Grab::N,varr,мыгилӓ
537,Grab::N,varr,шӹгерлӓ
538,Kirche::N,kishë,церкӹ
539,Sünde::N,mëkat,сулык
540,Sünde::N,gjynah,сулык
541,Gott::N,hy,йымы
542,Gott::N,zot,йымы
543,Arbeiter::N,punëtor,пӓшӓзӹ
544,Chef::N,shef,вуй
545,Chef::N,drejtues,вуй
546,Meister::N,mjeshtër,мастар
547,Arzt::N,mjek,доктор
548,Arzt::N,doktor,доктор
549,Lehrer::N,mësues,тымдышы
550,Lehrer::N,arsimtar,тымдышы
551,Geld::N,para,окса
552,Geld::N,holla,окса
553,Geschäft::N,ujdi,торге́йӹмӓш
554,Geschäft::N,biznes,торге́йӹмӓш
555,Laden::N,dyqan,лапка
556,Laden::N,dyqan,магазин
557,Preis::N,çmim,ӓк
558,Ware::N,mall,товар
559,Nutzen::N,dobi,пайда
560,Nutzen::N,leverdi,пайда
561,Reichtum::N,kamje,перке
562,Reichtum::N,pasuri,перке
563,Welt::N,botë,сӓндӓлӹк
564,Welt::N,botë,свет
565,Land::N,vend,сӓндӓлӹк
566,Staat::N,shtet,кугижӓншӹ
567,König::N,mbret,король
568,Macht::N,fuqi,власть
569,Macht::N,pushtet,власть
570,Grenze::N,kufi,пӹсмӓн
571,Krieg::N,luftë,вырсы
572,Feind::N,armik,тышман
573,Gewalt::N,dhunë,ви
574,Kampf::N,luftim,кредӓлмӓш
575,Bogen[Waffe]::N,hark,янгеж
576,Pfeil::N,shigjetë,пикш
577,Gewehr::N,pushkë,пичӓл
578,Fehler::N,gafë,самынь
579,Fehler::N,gabim,самынь
580,Lüge::N,gënjeshtër,шая
581,Schaden::N,dëm,вре́дӓ
582,Schaden::N,zarar,вре́дӓ
583,Unglück::N,fatkeqësi,пёда
584,Unglück::N,fatkeqësi,тымаша
585,Schuld::N,faj,вуйнамат
586,Alter::N,moshë,иӓш
587,Alter::N,moshë,игечӹ
588,Schluss::N,fund,пӹтӓртӹш
589,Zeit::N,kohë,веремӓ
590,Tag::N,ditë,кечӹ
591,Morgen::N,mëngjes,ир
592,Morgen::N,mëngjes,ирок
593,Mittag::N,mesditë,кечӹвӓл
594,Abend::N,mbrëmje,вады
595,Nacht::N,natë,йыд
596,Woche::N,javë,ӓрня
597,Monat::N,muaj,тӹ́лзӹ
598,Jahr::N,vit,год
599,Frühling::N,pranverë,шошым
600,Sommer::N,verë,кӓнгӹж
601,Herbst::N,vjeshtë,шӹжӹ
602,Winter::N,dimër,тел
603,Winter::N,dimër,телӹ
604,Januar::N,janar,январ
605,Januar::N,janar,январь
606,Februar::N,shkurt,февраль
607,März::N,mars,март
608,April::N,prill,апрель
609,Mai::N,maj,май
610,Juni::N,qershor,июнь
611,Juli::N,korrik,июль
612,August::N,gusht,август
613,September::N,shtator,сентябрь
614,Oktober::N,tetor,октябрь
615,November::N,nëntor,ноябрь
616,Dezember::N,dhjetor,декавыр
617,Montag::N,hënë,шачмы
618,Dienstag::N,martë,кышкыжмы
619,Mittwoch::N,mërkurë,вӹрчегӹ
620,Donnerstag::N,enjte,изӓрня
621,Freitag::N,premte,когарня
622,Samstag::N,shtunë,кукшыгечӹ
623,Sonntag::N,diel,рушӓрня
624,groß::A,madh,кого
625,klein::A,vogël,изи
626,lang::A,gjatë,кужы
627,kurz::A,shkurtër,кӹтӹк
628,breit::A,gjerë,кымда
629,schmal::A,ngushtë,ӓнгӹсӹр
630,dicht::A,dendur,шӹре
631,dick[Gegenstand]::A,trashë,кӹжгӹ
632,dünn::A,hollë,вӹцкӹж
633,fein::A,imët,пыльга
634,fest::A,fortë,цаткыды
635,flach::A,sheshtë,тӓлякӓ
636,glatt::A,rrafshët,ягылгы
637,hart::A,fortë,пингӹдӹ
638,weich::A,butë,пышкыды
639,rund::A,rrumbullakët,тӹртӹш
640,spitz::A,majëmprehtë,кашар
641,scharf::A,mprehtë,кашар
642,stumpf::A,topitur,нӹшкӹ
643,schwer::A,rëndë,нелӹ
644,schön::A,bukur,цевер
645,schön::A,bukur,олмыдшы
646,heiß::A,nxehtë,шокшы
647,warm::A,ngrohtë,шокшы
648,kalt::A,ftohtë,ӱштӹ
649,kühl::A,freskët,юалгы
650,kühl::A,freskët,йонгата
651,frisch::A,pastër,йонгата
652,feucht::A,lagësht,ӹлӹкшӹ
653,feucht::A,lagësht,вӹдӹжгӹ
654,nass::A,lagur,начкы
655,trocken::A,thatë,кукшы
656,voll::A,plotë,темшӹ
657,voll::A,plotë,темыман
658,leer::A,bosh,йӓрӓ
659,leer::A,zbrazët,йӓрӓ
660,offen::A,hapur,виш
661,geschlossen::A,mbyllur,чӱчмӹ
662,geschlossen::A,mbyllur,тӹкӹлӓлтшӹ
663,sauber::A,dëlirë,ире
664,schmutzig::A,ndyrë,шоран
665,schmutzig::A,ndyrë,лявӹрӓн
666,schmutzig::A,ndyrë,шорангшы
667,roh::A,gjallë,пеле кӱшӹ
668,reif::A,arrirë,кӱшӹ
669,lecker::A,shijshëm,тотан
670,süß::A,ëmbël,мӱӓн
671,bitter::A,hidhur,качы
672,sauer::A,thartë,шапы
673,hell::A,me dritë,соты
674,hell::A,me dritë,валгыды
675,dunkel::A,errët,пӹц
676,dunkel::A,errët,пӹцкемӹш
677,schwarz::A,i zi,шим
678,weiß::A,bardhë,ош
679,weiß::A,bardhë,ошы
680,rot::A,kuq,якшаргы
681,gelb::A,verdhë,сар
682,gelb::A,verdhë,сары
683,blau::A,blu,симсӹ
684,blau::A,kaltër,симсӹ
685,grün::A,blertë,ыжар
686,grün::A,gjelbër,ыжар
687,grau::A,hirtë,луды
688,grau::A,bojë hiri,луды
689,bunt::A,shumëngjyrëshëm,ала
690,billig::A,lirë,шулдаш
691,teuer::A,shtrenjtë,шергӹ
692,teuer::A,shtrenjtë,шергӓкӓн
693,wertvoll::A,çmuar,ӓкӓн
694,wertvoll::A,vlershëm,ӓкӓн
695,blind::A,qorr,слöпöй
696,blind::A,qorr,сльöпöй
697,blind::A,verbër,слöпöй
698,blind::A,verbër,сльöпöй
699,taub::A,shurdhër,тӱтӱк
700,kräftig::A,fuqishëm,виӓн
701,stark::A,fortë,виӓн
702,schwach::A,dobët,шава
703,schwach::A,dobët,лӹпкӓ
704,schwach::A,dobët,слабка
705,fett::A,dhjamur,таза
706,schlank::A,hollë,яштака
707,hübsch::A,bukur,сӹлнӹ
708,hübsch::A,bukur,олмыдшы
709,hübsch::A,hijshëm,сӹлнӹ
710,hübsch::A,hijshëm,олмыдшы
711,böse::A,keq,шӹдӓн
712,dumm::A,teveqel,окмак
713,faul::A,dembel,ялахай
714,fleißig::A,zellshëm,пӓшам яратышы
715,geizig::A,kurnac,шык
716,geizig::A,dorështrënguar,шык
717,klug::A,mençur,ышан
718,geschickt::A,aftë,мастар
719,lieb::A,dashur,тыри
720,lustig::A,gëzuar,мындыр
721,lustig::A,gëzuar,сусу
722,sanft::A,butë,йӹвӹжӓ
723,hungrig::A,uritur,шужышы
724,krank::A,sëmurë,церлӹ
725,krank::A,sëmurë,хворой
726,nackt::A,lakuriq,цӓрӓ
727,nackt::A,zhveshur,цӓрӓ
728,traurig::A,trishtuar,сы́лыкан
729,traurig::A,trishtuar,кымы́лдымы
730,lebendig::A,gjallë,живой
731,gut::A,mirë,яжо
732,schlecht::A,keq,уда
733,schlecht::A,keq,худа
734,richtig::A,drejtë,вургамла
735,schlimm::A,keq,йӹрнык
736,wahr::A,vërtetë,настоящий
737,wahr::A,vërtetë,настояшый
738,alt::A,vjetër,шонгы
739,neu::A,i ri,у
740,ehemalig::A,dikurshëm,тошты
741,alt[Lebewesen]::A,plak,ӹлалшӹ
742,jung::A,i ri,нöргӹ
743,jung::A,i ri,молода
744,arm::A,varfër,укеӓн
745,arm::A,vobektë,укеӓн
