,Concept_ID,mn,av
186,Bär::N,баавгай,ци
187,Eichhörnchen::N,хэрэм,гвангва
188,Elch::N,хандгай,
189,Fuchs::N,үнэг,цер
190,Hase::N,туулай,гӏанкӏ
191,Maus::N,хулгана,гӏункӏкӏ
192,Wolf::N,чоно,бацӏ
193,Vogel::N,шувуу,хӏинчӏ
194,Schwarm::N,сүрэг,тӏел
195,Huhn::N,тахиа,гӏанкӏу
196,Hahn::N,эр тахиа,хӏелеко
197,Gans::N,галуу,хъаз
198,Adler::N,бүргэд,цӏум
199,Ente::N,нугас,ордек
200,Eule::N,ууль,беццаруз
201,Kranich::N,тогоруу,къункъра
202,Krähe::N,хэрээ,гъеду
203,Kuckuck::N,хөхөө,гагу
204,Schwan::N,хун,хӏанкъва
205,Fisch::N,загас,ччугӏа
206,Barsch::N,алгана,окунь
207,Hecht::N,цурхай,щука
208,Schlange[Tier]::N,могой,борохь
209,Wurm::N,өт,хӏапара
210,Wurm::N,хорхой,хӏапара
211,Spinne::N,аалз,хъанхъра
212,Ameise::N,шоргоолж,цӏунцӏра
213,Laus::N,бөөс,нацӏ
214,Mücke::N,шумуул,кӏкӏара
215,Fliege::N,ялаа,тӏутӏ
216,Schmetterling::N,эрвээхэй,кӏалкӏучӏ
217,Beere::N,жимсгэнэ,
218,Apfel::N,алим,гӏеч
219,Pilz::N,мөөг,гӏурдахӏан
220,Zwiebel::N,сонгино,кӏочӏопер
221,Saat::N,тариа,хьон
222,Korn::N,үр,мугь
223,Korn::N,мөхлөг,мугь
224,Heu::N,өвс,хер
225,Schale::N,хальс,хъал
226,Grube::N,алам,гвенд
227,Grube::N,нүх,гвенд
228,Falle::N,хавх,къор
229,Falle::N,хавх,къотен
230,Falle::N,занга,къор
231,Falle::N,занга,къотен
232,Schlinge::N,урхи,кӏичӏ
233,Spur::N,мөр,лъалкӏ
234,Asche::N,үнс,рахъу
235,Dreck::N,хир,гъиз
236,Dreck::N,хир,хӏарщ
237,Eisen::N,төмөр,махх
238,Gold::N,алт,месед
239,Silber::N,мөнгө,гӏарац
240,Kohle::N,нүүрс,тӏурччи
241,Glas::N,шил,цӏер
242,Lehm::N,шавар,хӏатӏ
243,Sand::N,элс,сали
244,Mensch::N,хүн,чи
245,Mann::N,эр,бихьинчи
246,Mann::N,эрэгтэй,бихьинчи
247,Frau::N,эмэгтэй,гӏадан
248,Frau::N,хатагтай,гӏадан
249,Kind::N,хүүхэд,лъимер
250,Junge::N,хүү,вас
251,Mädchen::N,охин,яс
252,Mädchen::N,бүсгүй,яс
253,Familie::N,айл,хъизан
254,Großvater::N,өвгөн аав,кӏудада
255,Großmutter::N,эмэг эх,кӏодо
256,Großmutter::N,эмгээ,кӏодо
257,Eltern::N,эцэг эх,эбел-эмен
258,Vater::N,аав,эмен
259,Vater::N,эцэг,эмен
260,Mutter::N,эх,эбел
261,Mutter::N,ээж,эбел
262,Sohn::N,хүү,вас
263,Tochter::N,охин,яс
264,Bruder::N,ах,вац
265,Bruder::N,дүү,вац
266,Schwester::N,эгч,яц
267,Schwester::N,охин дүү,яц
268,Onkel::N,авга ах,даци
269,Onkel::N,нагац ах,даци
270,Tante::N,авга эгч,ада
271,Tante::N,нагац эгч,ада
272,Ehemann::N,нөхөр,рос
273,Ehefrau::N,эхнэр,чӏужу
274,Ehefrau::N,гэргий,чӏужу
275,Freude::N,баяр,ракӏбохи
276,Freude::N,баясгалан,ракӏбохи
277,Gelächter::N,инээдэм,релъи
278,Glück::N,жаргалан,талихӏ
279,Glück::N,жаргалан,талихӏ-рохел
280,Kummer::N,гаслан,хӏалкъай
281,Wunsch::N,ерөөл,къасд
282,Lust::N,дур,гъира
283,Lust::N,хүсэл,гъира
284,Geist::N,оюун,чӏанкӏ
