,Concept_ID,cv,fa
533,Schnur::N,кантра,ریسمان
534,Leine::N,касмӑк,قلاده
535,Decke::N,утиял,پتو
536,Kissen::N,ҫытар,بالش
537,Kissen::N,минтер,بالش
538,Tuch::N,тутӑр,شال
539,Handtuch::N,ал шӑлли,حوله
540,Kraft::N,вӑй,نیرو
541,Kraft::N,хӑват,نیرو
542,Stärke::N,хал,زور
543,Stärke::N,хӑват,زور
544,Gesundheit::N,хал,سلامتی
545,Gesundheit::N,хал,تندرستی
546,Gesundheit::N,сывлӑх,سلامتی
547,Gesundheit::N,сывлӑх,تندرستی
548,Krankheit::N,чир,بیماری
549,Schmerz::N,ырату,درد
550,Wunde::N,суран,زخم
551,Fieber::N,сив чир,تب
552,Arznei::N,эмел,دارو
553,Brücke::N,кӗпер,پل
554,Brunnen::N,ҫӑл,چاه
555,Brunnen::N,пусӑ,چاه
556,Weide::N,ҫаран,چراگاه
557,Pfad::N,йӗр,راه
558,Pfad::N,сукмак,راه
559,Weg::N,ҫул,راه
560,Weg::N,ҫул,طریق
561,Weg::N,ҫул-йӗр,راه
562,Weg::N,ҫул-йӗр,طریق
563,Straße::N,ҫӳрев,راه
564,Straße::N,ҫӳрев,جاده
565,Straße::N,ҫул ҫӳрени,راه
566,Straße::N,ҫул ҫӳрени,جاده
567,Dorf::N,ял,ده
568,Dorf::N,ял,روستا
569,Stadt::N,хула,شهر
570,Brief::N,ҫыру,نامه
571,Buch::N,кӗнеке,کتاب
572,Buchstabe::N,сас палли,حرف
573,Zeitung::N,хаҫат,روزنامه
574,Leben::N,пурнӑҫ,عمر
575,Leben::N,пурнӑҫ,زندگی
576,Tod::N,вилӗм,مرگ
577,Grab::N,масар шӑтӑкӗ,گور
578,Grab::N,масар шӑтӑкӗ,مزار
579,Kirche::N,чиркӳ,کلیسا
580,Sünde::N,ҫылӑх,بزه
581,Sünde::N,ҫылӑх,گناه
582,Gott::N,турӑ,خدا
583,Arbeiter::N,рабочи,کارگر
584,Chef::N,пуҫлӑх,رئیس
585,Meister::N,ӑста,استاد
586,Meister::N,мастер,استاد
587,Arzt::N,врач,پزشک
588,Arzt::N,тухтӑр,پزشک
589,Lehrer::N,учитель,معلم
590,Lehrer::N,учитель,آموزگار
591,Lehrer::N,вӗрентекен,معلم
592,Lehrer::N,вӗрентекен,آموزگار
593,Geld::N,укҫа,پول
594,Geschäft::N,бизнес,کار
595,Geschäft::N,бизнес,بیزنس
596,Laden::N,магазин,دکان
597,Laden::N,магазин,مغازه
598,Preis::N,хак,بها
599,Preis::N,хак,قیمت
600,Ware::N,тавар,جنس
601,Ware::N,тавар,کالا
602,Nutzen::N,пайта,مزیت
603,Nutzen::N,пайта,امتیاز
604,Reichtum::N,мул,مال
605,Reichtum::N,мул,ثروت
606,Welt::N,тӗнче,دنیا
607,Land::N,ҫӗр-шыв,کشور
608,Land::N,ҫӗр-шыв,مملکت
609,Staat::N,патшàлӑх,دولت
610,König::N,король,شاه
611,König::N,король,پادشاه
612,Macht::N,власть,قدرت
613,Macht::N,власть,اختیار
614,Grenze::N,чикӗ,مرز
615,Krieg::N,вӑрҫӑ,جنگ
616,Feind::N,тӑшман,دشمن
617,Gewalt::N,ирӗксӗрлӳ,زور
618,Gewalt::N,ирӗксӗрлӳ,خشونت
619,Kampf::N,кӗрешӳ,نبرد
620,Kampf::N,кӗрешӳ,مبارزه
621,Bogen[Waffe]::N,ухӑ,کمان
622,Pfeil::N,ҫӗмрен,تیر
623,Pfeil::N,ухӑ йӗппи,تیر
624,Gewehr::N,пӑшал,تفنگ
625,Fehler::N,йӑнӑш,غلط
626,Fehler::N,йӑнӑш,اشتباه
627,Lüge::N,суя,دروغ
628,Lüge::N,ултав,دروغ
629,Schaden::N,сиен,آسیب
630,Schaden::N,сиен,خسارت
631,Unglück::N,шар,بلا
632,Unglück::N,инкек,بلا
633,Schuld::N,айӑп,گناه
