,Concept_ID,,ps
769,wo::FADV,,چېرته
770,wohin::FADV,,چېرته
771,wie::FADV,,څنګه
772,warum::FADV,,ولې
773,wieviel::FNUM,,څو
774,wieviel::FNUM,,څومره
775,eins::NUM,,یو
776,zwei::NUM,,دوه
777,drei::NUM,,درې
778,vier::NUM,,څلور
779,fünf::NUM,,پنځه
780,sechs::NUM,,شپږ
781,sieben::NUM,,اوه
782,acht::NUM,,اته
783,neun::NUM,,نهه
784,zehn::NUM,,لس
785,elf::NUM,,یوولس
786,zwölf::NUM,,دولس
787,zwanzig::NUM,,شل
788,dreißig::NUM,,دېرش
789,vierzig::NUM,,څلوېښت
790,fünfzig::NUM,,پنځوس
791,sechzig::NUM,,شپېته
792,siebzig::NUM,,اویا
793,achtzig::NUM,,اتیا
794,neunzig::NUM,,نوي
795,hundert::NUM,,سل
796,tausend::NUM,,زر
797,und::CNJ,,او
798,oder::CNJ,,ېا
799,stehen::V,,درېدل
800,sitzen::V,,کښېنستل
801,liegen::V,,ملاستل
802,hängen::V,,ځړېدل
803,werden::V,,کېدل
804,passieren::V,,پېښېدل
805,beginnen::V,,شروع کېدل
806,enden::V,,خلاصدل
807,enden::V,,تمامېدل
808,wechseln::V,,تغییر موندل
809,aufgehen[Sonne]::V,,ختل
810,untergehen[Sonne]::V,,لوېدل
811,untergehen[Sonne]::V,,پرېوتل
812,scheinen[Sonne]::V,,رڼا کول
813,donnern::V,,تنېدل
814,donnern::V,,غړمبېدل
815,wehen::V,,چلېدل
816,strömen::V,,بهېدل
817,fließen::V,,بهېدل
818,fließen::V,,تویېدل
819,sich drehen::V,,ګرځېدل
820,sich drehen::V,,چورلېدل
821,schwanken::V,,زنګېدل
822,schwingen::V,,زنګېدل
823,fallen::V,,ولېدل
824,brennen::V,,سوځېدل
825,rauchen::V,,لوګی کول
826,regnen::V,,باران اورېدل
827,gefrieren::V,,کنګل نيول
828,tauen::V,,وېلې کېدل
829,schmelzen::V,,وېلې کېدل
830,trocknen::V,,وچېدل
831,sieden::V,,اېشېدل
832,faulen::V,,خرابېدل
833,verfaulen::V,,ورستېدل
834,reißen::V,,شلېدل
835,versinken::V,,ډوېېدل
836,vergehen::V,,تېرېدل
837,erscheinen::V,,ښکارېدل
838,verschwinden::V,,ورکېدل
839,sinken::V,,ښکته کېدل
840,abnehmen::V,,کمېدل
841,zunehmen::V,,زیاتېدل
842,steigen::V,,جګېدل
843,steigen::V,,پورته کېدل
844,wachsen::V,,وده کول
845,glänzen::V,,ځلېدل
846,funkeln::V,,پړکېدل
847,lärmen::V,,غال و غول کول
848,läuten::V,,زنګ وهل
849,klingeln::V,,زنګ وهل
850,klirren::V,,کړنګېدل
851,brausen::V,,تلاطم کول
852,rauschen::V,,شڼهار کول
853,klingen::V,,آواز کول
854,bellen::V,,غپېدل
855,heulen::V,,انګلل
856,blasen::V,,پو کول
857,pfeifen::V,,شپېلک وهل
858,schreien::V,,ناره کول
859,stöhnen::V,,زګېروی کول
860,zittern::V,,لړزېدل
861,leben::V,,ژوند کول
862,geboren werden::V,,زېږېدل
863,atmen::V,,ساه کښل
864,atmen::V,,تنفس کول
865,trinken::V,,څښل
866,essen::V,,خوړل
867,schlucken::V,,غړپول
868,müde werden::V,,ستړی کېدل
869,einschlafen::V,,ویده کېدل
870,schlafen::V,,خوب کول
871,aufwachen::V,,ویښېدل
872,aufstehen::V,,پاڅېدل
873,sich erholen::V,,استراحت کول
874,krank werden::V,,رنځورېدل
875,krank sein::V,,ناجوړېدل
876,schmerzen::V,,خوږېدل
877,schmerzen::V,,درد کول
878,husten::V,,ټوخېدل
879,genesen::V,,رغېدل
880,sterben::V,,مړل
881,umkommen::V,,تلفېدل
882,sich bewegen::V,,چلېدل
883,sich bewegen::V,,حرکت کول
884,sich rühren::V,,ښورېدل
885,sich erheben::V,,درېدل
886,sich setzen::V,,کښېنستل
887,hinfallen::V,,لوېدل
888,laufen::V,,منډې وهل
889,schreiten::V,,قدم ایښودل
890,spazierengehen::V,,چکر وهل
891,eilen::V,,بېړه کول
892,sich beeilen::V,,عجله کول
893,sausen::V,,ځغستل
894,rennen::V,,زغلېدل
895,springen::V,,ټوپ وهل
896,klettern::V,,ختل
897,schaukeln::V,,زنګېدل
898,kriechen::V,,خاپوړی وهل
899,schwimmen::V,,لامبو وهل
900,tauchen::V,,غوټه وهل
901,rudern::V,,پارو وهل
902,fahren::V,,تلل
903,fliegen::V,,الوتل
904,gehen::V,,تلل
905,weggehen::V,,بهر وتل
906,abfahren::V,,تلل
907,anhalten::V,,ودرېدل
908,hineingehen::V,,داخلېدل
909,eintreten::V,,ننوتل
910,kommen::V,,راتلل
911,ankommen::V,,رسېدل
912,zurückkommen::V,,بېرته راتلل
913,bleiben::V,,پاتې کېدل
914,warten::V,,انتظار وېستل
915,erwarten::V,,انتظار کول
916,suchen::V,,لټول
917,finden::V,,میندل
918,finden::V,,پیدا کول
919,versuchen::V,,هڅه کول
920,vorbereiten::V,,چمتوکول
921,lieben::V,,مینه لرل
922,mögen::V,,خوښول
923,mögen::V,,علاقه لرل
924,lachen::V,,خندېدل
