,Concept_ID,vep,es
586,Winter::N,tal'v,invierno
587,Januar::N,viluku,enero
588,Februar::N,uhoku,febrero
589,März::N,keväz'ku,marzo
590,April::N,sulaku,abril
591,Mai::N,semendku,mayo
592,Juni::N,kezaku,junio
593,Juli::N,heinku,julio
594,August::N,eloku,agosto
595,September::N,sügüz'ku,septiembre
596,Oktober::N,reduku,octubre
597,November::N,kül'mku,noviembre
598,Dezember::N,tal'vku,diciembre
599,Montag::N,ezmärg,lunes
600,Dienstag::N,tožnarg,martes
601,Mittwoch::N,koumanz'päiv,miércoles
602,Donnerstag::N,nellänz'päiv,jueves
603,Freitag::N,pätnič,viernes
604,Freitag::N,videnz'päiv,viernes
605,Samstag::N,sobat,sábado
606,Sonntag::N,pühäpäiv,domingo
607,groß::A,sur',grande
608,groß::A,järed,grande
609,klein::A,pen',pequeño
610,klein::A,pičuine,pequeño
611,lang::A,pit'k,largo
612,kurz::A,lühüd,corto
613,breit::A,leved,ancho
614,schmal::A,kaid,estrecho
615,dicht::A,tihed,denso
616,dick[Gegenstand]::A,paks,grueso
617,dünn::A,hoik,fino
618,dünn::A,hoik,delgado
619,fein::A,hen,fino
620,fein::A,hen,delicado
621,fest::A,luja,firme
622,fest::A,luja,sólido
623,fest::A,ninev,firme
624,fest::A,ninev,sólido
625,flach::A,lapak,plano
626,glatt::A,siled,liso
627,hart::A,kova,duro
628,weich::A,pehmed,muelle
629,rund::A,kehker,redondo
630,spitz::A,nügu,agudo
631,spitz::A,nügu,apuntado
632,spitz::A,terav,agudo
633,spitz::A,terav,apuntado
634,scharf::A,terav,agudo
635,scharf::A,terav,afilado
636,stumpf::A,tül'c,sin filo
637,schwer::A,jüged,pesado
638,schön::A,čoma,bello
639,schön::A,čoma,hermoso
640,heiß::A,räk,caluroso
641,warm::A,läm',cálido
642,warm::A,läm',caliente
643,kalt::A,vilu,frío
644,kühl::A,raibak,fresco
645,kühl::A,viluhk,fresco
646,frisch::A,lahed,fresco
647,feucht::A,neps,húmedo
648,feucht::A,toreh,húmedo
649,nass::A,märg,mojado
650,trocken::A,kuiv,seco
