,Concept_ID,fi,uk
563,Nacht::N,yö,ніч
564,Woche::N,viikko,тиждень
565,Monat::N,kuukausi,місяць
566,Jahr::N,vuosi,рік
567,Frühling::N,kevät,весна
568,Sommer::N,kesä,літо
569,Herbst::N,syksy,осінь
570,Winter::N,talvi,зима
571,Januar::N,tammikuu,січень
572,Februar::N,helmikuu,лютий
573,März::N,maaliskuu,березень
574,April::N,huhtikuu,квітень
575,Mai::N,toukokuu,травень
576,Juni::N,kesäkuu,червень
577,Juli::N,heinäkuu,липень
578,August::N,elokuu,серпень
579,September::N,syyskuu,вересень
580,Oktober::N,lokakuu,жовтень
581,November::N,marraskuu,листопад
582,Dezember::N,joulukuu,грудень
583,Montag::N,maanantai,понеділок
584,Dienstag::N,tiistai,вівторок
585,Mittwoch::N,keskiviikko,середа
586,Donnerstag::N,torstai,четвер
587,Freitag::N,perjantai,п’ятниця
588,Samstag::N,lauantai,субота
589,Sonntag::N,sunnuntai,неділя
590,groß::A,iso,великий
591,groß::A,suuri,великий
592,klein::A,pieni,малий
593,klein::A,pieni,маленький
594,lang::A,pitkä,довгий
595,kurz::A,lyhyt,короткий
596,breit::A,leveä,широкий
597,schmal::A,kapea,вузький
598,dicht::A,taaja,густий
599,dick[Gegenstand]::A,paksu,товстий
600,dünn::A,ohut,тонкий
601,fein::A,hieno,дрібний
602,fest::A,luja,міцний
603,flach::A,litteä,плоский
604,flach::A,tasainen,плоский
605,glatt::A,sileä,рівний
606,glatt::A,sileä,гладенький
607,glatt::A,siloinen,рівний
608,glatt::A,siloinen,гладенький
609,hart::A,kova,твердий
610,weich::A,pehmeä,м’який
611,rund::A,pyöreä,круглий
612,spitz::A,terävä,гострокінцевий
613,scharf::A,terävä,гострий
614,stumpf::A,tylsä,тупий
615,schwer::A,raskas,важкий
616,schwer::A,painava,важкий
617,schön::A,kaunis,вродливий
618,heiß::A,kuuma,жаркий
619,heiß::A,kuuma,гарячий
620,warm::A,lämmin,теплий
621,kalt::A,kylmä,холодний
622,kalt::A,viluinen,холодний
623,kühl::A,viileä,прохолодний
624,frisch::A,tuore,свіжий
625,feucht::A,kostea,вогкий
626,nass::A,märkä,мокрий
627,trocken::A,kuiva,сухий
628,voll::A,täysi,повний
629,leer::A,tyhjä,пустий
630,offen::A,avonainen,відкритий
631,geschlossen::A,suljettu,закритий
632,geschlossen::A,suljettu,зачинений
633,sauber::A,puhdas,чистий
634,sauber::A,puhdas,охайний
635,schmutzig::A,likainen,брудний
636,roh::A,raaka,сирий
637,reif::A,kypsä,зрілий
638,lecker::A,herkullinen,смачний
639,süß::A,makea,солодкий
640,bitter::A,karvas,гіркий
641,bitter::A,kitkerä,гіркий
642,sauer::A,hapan,кислий
643,hell::A,kirkas,світлий
644,hell::A,valoisa,світлий
645,dunkel::A,pimeä,темний
646,schwarz::A,musta,чорний
647,weiß::A,valkea,сивий
648,rot::A,punainen,червоний
649,gelb::A,keltainen,жовтий
650,blau::A,sininen,синій
651,grün::A,vihreä,зелений
652,grau::A,harmaa,сірий
653,bunt::A,kirjava,барвистий
654,billig::A,halpa,дешевий
655,billig::A,huokea,дешевий
656,teuer::A,kallis,дорогий
657,wertvoll::A,arvokas,цінний
658,blind::A,sokea,сліпий
659,taub::A,kuuro,глухий
660,kräftig::A,väkevä,могутній
661,kräftig::A,voimakas,могутній
662,stark::A,vahva,сильний
663,schwach::A,heikko,слабкий
664,fett::A,lihava,жирний
665,fett::A,lihava,товстий
666,schlank::A,hoikka,тонкий
667,schlank::A,hoikka,стрункий
668,schlank::A,solakka,тонкий
669,schlank::A,solakka,стрункий
670,hübsch::A,soma,чарівний
671,hübsch::A,sievä,чарівний
672,böse::A,paha,злий
673,böse::A,paha,лихий
674,böse::A,häijy,злий
675,böse::A,häijy,лихий
676,dumm::A,tyhmä,дурний
677,dumm::A,typerä,дурний
678,faul::A,laiska,ледачий
679,fleißig::A,ahkera,старанний
680,geizig::A,saita,скупий
681,klug::A,älykäs,мудрий
682,klug::A,älykäs,розумний
683,geschickt::A,taitava,умілий
684,lieb::A,rakas,милий
685,lustig::A,hauska,веселий
686,lustig::A,iloinen,веселий
687,sanft::A,lauha,лагідний
688,sanft::A,lempeä,лагідний
689,hungrig::A,nälkäinen,голодний
690,krank::A,sairas,слабий
691,nackt::A,alaston,голий
692,traurig::A,surullinen,сумний
693,traurig::A,murheellinen,сумний
694,lebendig::A,elävä,живий
695,gut::A,hyvä,добрий
696,schlecht::A,paha,поганий
697,schlecht::A,paha,кепський
698,schlecht::A,huono,поганий
699,schlecht::A,huono,кепський
700,richtig::A,oikea,правильний
701,schlimm::A,paha,бридкий
702,wahr::A,tosi,справжній
703,alt::A,vanha,старий
704,neu::A,uusi,новий
705,ehemalig::A,entinen,колишній
706,ehemalig::A,muinainen,колишній
707,alt[Lebewesen]::A,vanha,старий
708,jung::A,nuori,молодий
709,arm::A,köyhä,бідний
710,reich::A,rikas,багатий
711,bekannt::A,tuttu,знайомий
712,bekannt::A,tunnettu,знайомий
713,berühmt::A,kuuluisa,славетний
714,fremd::A,vieras,чужий
715,verschieden::A,eri,різний
716,verschieden::A,erilainen,різний
717,nah::A,läheinen,близький
718,fern::A,etäinen,далекий
719,linker::A,vasen,лівий
720,rechter::A,oikea,правий
721,anderer::A,muu,інакший
722,anderer::A,toinen,інакший
723,erster::A,ensimmäinen,перший
724,zweiter::A,toinen,другий
725,dritter::A,kolmas,третій
726,letzter::A,viimeinen,останній
727,allein::ADV,yksin,сам
728,allein::ADV,yksin,один
729,auf einmal::ADV,yhdellä kertaa,відразу
730,zusammen::ADV,yhdessä,разом
731,zusammen::ADV,yhdessä,спільно
732,lange::ADV,kauan,довго
733,lange::ADV,pitkään,довго
734,plötzlich::ADV,äkkiä,раптом
735,sofort::ADV,heti,зараз
736,später::ADV,myöhemmin,пізніше
737,jetzt::ADV,nyt,тепер
738,heute::ADV,tänään,сьогодні
739,morgen::ADV,huomenna,завтра
740,bald::ADV,pian,незабаром
741,dann::ADV,sitten,потім
742,gestern::ADV,eilen,вчора
743,einst::ADV,aikanaan,колись
744,damals::ADV,silloin,тоді
745,damals::ADV,siihen aikaan,тоді
