,Concept_ID,kv,pt
748,zusammen::ADV,ӧтлаын,juntos
749,lange::ADV,дыр,muito tempo
750,plötzlich::ADV,друг,de repente
751,sofort::ADV,тшӧтш,imediatamente
752,später::ADV,медбӧрын,mais tarde
753,jetzt::ADV,ӧні,agora
754,heute::ADV,талун,hoje
755,morgen::ADV,ашын,amanhã
756,bald::ADV,чожа,logo
757,bald::ADV,чожа,breve
758,dann::ADV,сыбӧрын,então
759,dann::ADV,сыбӧрын,depois
760,gestern::ADV,тӧн,ontem
761,einst::ADV,ӧтпыр,antigamente
762,damals::ADV,сэк,então
763,damals::ADV,сэки,então
764,danach::ADV,сэсся,logo
765,danach::ADV,сэсся,depois
766,vorher::ADV,одзжык,antes
767,zuerst::ADV,наперво,primeiro
768,einmal::ADV,ӧтпыр,uma vez
769,manchmal::ADV,мукӧдпыр,às vezes
770,oft::ADV,-лы-,muitas vezes
771,immer::ADV,быдпыр,sempre
772,immer::ADV,быдпырся,sempre
773,niemals::ADV,некӧр,nunca
774,hier::ADV,татӧн,cá
775,hier::ADV,татӧн,aqui
776,hierhin::ADV,татчӧ,para cá
777,von hier::ADV,тасянь,daqui
778,dort::ADV,сэтӧн,lá
779,dort::ADV,сэтӧн,ali
780,dorthin::ADV,сэтчин,lá
781,dorthin::ADV,сэтчин,para lá
782,geradeaus::ADV,веськыта,em frente
783,vorwärts::ADV,одзӧ,avante
784,rückwärts::ADV,бӧр,para trás
785,zurück::ADV,бӧр,atrás
786,unten::ADV,увтын,debaixo
787,unten::ADV,увтын,em baixo
788,hinab::ADV,увтас,para baixo
789,oben::ADV,вевдӧрас,em cima
790,hinauf::ADV,вывлань,para cima
791,hinauf::ADV,вывланьӧ,para cima
792,überall::ADV,быдлан,em toda parte
793,nicht::ADV,ог,não
794,ein wenig::ADV,-ышт,um pouco
795,ein wenig::ADV,-ышт,um bocado
796,ein wenig::ADV,невна,um pouco
797,ein wenig::ADV,невна,um bocado
798,kaum::ADV,ӧдва,apenas
799,sehr::ADV,вывтi,muito
800,so::ADV,сiдз,tão
801,so::ADV,сiдз,assim
802,noch::ADV,эшӧ,ainda
803,nur::ADV,только,só
804,nur::ADV,только,apenas
805,nur::ADV,только,somente
806,schon::ADV,ни,já
807,wieder::ADV,бӧра,outra vez
808,vergebens::ADV,весись,em vão
809,vor::PRP,одзас,diante de
810,hinter::PRP,бӧрӧ,atrás de
811,unter::PRP,увтын,sob
812,unter::PRP,увтын,debaixo de
813,durch::PRP,пыр,por
