,Concept_ID,udm,cs
622,schwer::A,секыт,těžký
623,schön::A,чебер,pěkný
624,schön::A,чебер,krásný
625,heiß::A,пӧсь,horký
626,warm::A,шуныт,teplý
627,kalt::A,кезьыт,studený
628,kühl::A,юзмыт,chladný
629,kühl::A,салкым,chladný
630,frisch::A,выль,svěží
631,feucht::A,мускыт,vlhký
632,nass::A,котмем,mokrý
633,trocken::A,кӧс,suchý
634,voll::A,тыр,plný
635,leer::A,буш,prázdný
636,leer::A,тырттэм,prázdný
637,offen::A,усьтэм,otevřený
638,geschlossen::A,ӵогам,zavřený
639,geschlossen::A,пунням,zavřený
640,sauber::A,ӝикыт,čistý
641,sauber::A,чылкыт,čistý
642,schmutzig::A,нӧд,špinavý
643,roh::A,ыль,syrový
644,reif::A,вуэм,zralý
645,lecker::A,ческыт,chutný
646,süß::A,ческыт,sladký
647,bitter::A,курыт,hořký
648,sauer::A,чырс,kyselý
649,hell::A,югыт,světlý
650,dunkel::A,пеймыт,temný
651,schwarz::A,сьӧд,černý
652,weiß::A,тӧдьы,bílý
653,rot::A,горд,rudý
654,rot::A,горд,červený
655,gelb::A,ӵуж,žlutý
656,blau::A,лыз,modrý
657,grün::A,вож,zelený
658,grau::A,пурысь,šedý
659,grau::A,пурысь,šedivý
660,bunt::A,куӵо,pestrý
661,billig::A,дунтэм,levný
662,billig::A,дунтэм,laciný
663,teuer::A,дуно,drahý
664,wertvoll::A,дуно,cenný
665,blind::A,сукыр,slepý
666,blind::A,синтэм,slepý
667,taub::A,пельтэм,hluchý
668,kräftig::A,кужмо,silný
669,stark::A,юн,silný
670,stark::A,кужмо,silný
671,schwach::A,ляб,slabý
672,schwach::A,начар,slabý
673,fett::A,кӧй,tučný
674,fett::A,кӧй,tlustý
675,schlank::A,веськыт,štíhlý
676,schlank::A,веськрес,štíhlý
677,hübsch::A,чебер,hezký
678,hübsch::A,синмаськымон,hezký
679,böse::A,лек,zlý
680,dumm::A,шузи,hloupý
681,dumm::A,визьтэм,hloupý
682,faul::A,азьтэм,líný
683,fleißig::A,сюлмо,pilný
684,geizig::A,сук,lakomý
685,klug::A,визьмо,chytrý
686,geschickt::A,усто,šikovný
687,geschickt::A,быгатӥсь,šikovný
688,lieb::A,мусо,milý
689,lustig::A,шулдыр,veselý
690,sanft::A,мусо,mírný
691,sanft::A,эрке,mírný
692,hungrig::A,сютэм,hladový
693,krank::A,висись,nemocný
694,nackt::A,гольык,nahý
695,traurig::A,мӧзмыт,smutný
696,traurig::A,мӧзмыт,truchlivý
697,lebendig::A,улэп,živý
698,gut::A,ӟеч,dobrý
699,gut::A,умой,dobrý
700,schlecht::A,урод,špatný
701,schlecht::A,алама,špatný
702,richtig::A,шонер,pravý
703,richtig::A,шонер,správný
704,schlimm::A,алама,zlý
705,wahr::A,зэмос,pravdivý
706,alt::A,вуж,starý
707,neu::A,выль,nový
708,ehemalig::A,азьвылэз,bývalý
709,alt[Lebewesen]::A,пересь,starý
710,jung::A,егит,mladý
711,jung::A,пинал,mladý
712,arm::A,начар,chudý
713,arm::A,куанер,chudý
714,reich::A,узыр,bohatý
715,bekannt::A,тодмо,známý
716,berühmt::A,дано,slavný
717,fremd::A,ят,cizí
718,verschieden::A,пӧртэм,různý
719,verschieden::A,пӧртэм,rozličný
720,nah::A,матысь,blízký
721,fern::A,кыдёкысь,daleký
722,linker::A,паллян,levý
723,rechter::A,бур,pravý
724,rechter::A,бурпал,pravý
725,anderer::A,мукет,jiný
726,erster::A,нырысетӥез,první
727,zweiter::A,кыктэтӥез,druhý
728,dritter::A,кунньметӥез,třetí
729,letzter::A,берло,poslední
730,letzter::A,берпум,poslední
731,allein::ADV,огназ,sám
732,auf einmal::ADV,огдыре,najednou
733,zusammen::ADV,ӵош,spolu
734,zusammen::ADV,ӵош,dohromady
735,zusammen::ADV,валче,spolu
736,zusammen::ADV,валче,dohromady
737,lange::ADV,кема,dlouho
738,plötzlich::ADV,мапламтэ шорысь,vtom
739,plötzlich::ADV,мапламтэ шорысь,náhle
740,sofort::ADV,али ик,hned
741,sofort::ADV,али ик,ihned
742,später::ADV,бергес,později
743,später::ADV,берлогес,později
744,jetzt::ADV,али,teď
745,jetzt::ADV,али,nyní
746,jetzt::ADV,табере,teď
747,jetzt::ADV,табере,nyní
748,heute::ADV,туннэ,dnes
749,heute::ADV,туннэ,dneska
750,morgen::ADV,ӵуказе,zítra
751,bald::ADV,ӝоген,brzo
752,dann::ADV,берло,pak
753,dann::ADV,берло,potom
754,gestern::ADV,толон,včera
755,einst::ADV,огпол,kdysi
756,einst::ADV,одӥг пол,kdysi
757,damals::ADV,соку,tehdy
758,damals::ADV,соку,tenkrát
759,danach::ADV,собере,podle toho
760,vorher::ADV,азьло,dříve
761,vorher::ADV,азьло,napřed
762,vorher::ADV,азьвыл,dříve
763,vorher::ADV,азьвыл,napřed
764,zuerst::ADV,азьло,nejprve
765,zuerst::ADV,азьло,nejdříve
766,einmal::ADV,огпол,jednou
767,manchmal::ADV,куддыръя,někdy
768,oft::ADV,ӵем,často
769,immer::ADV,пыр,vždy
770,immer::ADV,пыр,stále
771,immer::ADV,котьку,vždy
772,immer::ADV,котьку,stále
773,niemals::ADV,уз ноку,nikdy
774,hier::ADV,татын,zde
775,hier::ADV,татын,tady
776,hierhin::ADV,татчы,sem
777,von hier::ADV,татысь,odtud
778,dort::ADV,отӥ,tam
779,dort::ADV,отын,tam
780,dorthin::ADV,отчы,tam
781,geradeaus::ADV,меӵак,rovně
782,vorwärts::ADV,азьлань,kupředu
