,Concept_ID,vep,ku
731,hinauf::ADV,ülähäks,banî
732,überall::ADV,kaikjal,li her derê
733,nicht::ADV,ei,ne
734,nicht::ADV,ei,nîn
735,nicht::ADV,ei,tine
736,ein wenig::ADV,vähän,hebkî
737,kaum::ADV,habi,tema
738,kaum::ADV,habi,himangi
739,sehr::ADV,lujas,gelek
740,so::ADV,muga,weha
741,so::ADV,ninga,weha
742,noch::ADV,völ,hêj
743,noch::ADV,völ,dîsa
744,nur::ADV,järg,tenê
745,nur::ADV,järg,bes
746,nur::ADV,vaiše,tenê
747,nur::ADV,vaiše,bes
748,schon::ADV,jo,hew
749,wieder::ADV,möst,jar din
750,wieder::ADV,möst,dîsa
751,vergebens::ADV,uhtei,deya çun
752,vergebens::ADV,uhtei,îfleh bûn
753,vor::PRP,edes,li ber
754,hinter::PRP,taga,li pişt
755,unter::PRP,al,li bin
756,durch::PRP,läbi,kura
757,durch::PRP,kal't,kura
758,neben::PRP,rindal,li ba
759,zwischen::PRP,keskes,nabeyne
760,zwischen::PRP,keskes,di nav...da
761,wegen::PRP,tagut,ji bo
762,wegen::PRP,tagut,ji ber
763,dies::PRN,nece,ev
764,das::PRN,se,ev
765,alles::PRN,kaik,hemû
766,ich::PRN,minä,ez
767,du::PRN,sinä,tu
768,er::PRN,hän,wî
769,wir::PRN,mö,êm
770,ihr::PRN,tö,hûn
771,sie::PRN,hö,we
772,was::FPRN,mi,çi
773,wer::FPRN,ken,ki
774,wo::FADV,kus,li ku dere
775,wohin::FADV,kuna,li ku dere
776,wie::FADV,kut,çawa
777,wie::FADV,mit',çawa
778,warum::FADV,mikš,çima
779,wieviel::FNUM,äjak,çend
780,wieviel::FNUM,kuverz',çend
781,eins::NUM,üks',yek
782,zwei::NUM,kaks',didu
783,drei::NUM,koume,sisê
784,vier::NUM,nel'l',çar
785,fünf::NUM,viž,penç
786,sechs::NUM,kuz',şeş
787,sieben::NUM,seičeme,heft
788,acht::NUM,kahesa,heşt
789,neun::NUM,ühesa,neh
790,zehn::NUM,kümne,deh
791,elf::NUM,üks'toštkümne,yazdeh
792,zwölf::NUM,kaks'toštkümne,diwazdeh
793,zwanzig::NUM,kaks'kümne,bîst
794,dreißig::NUM,koumekümne,sih
795,vierzig::NUM,nel'l'kümne,çil
796,fünfzig::NUM,vižkümne,pençi
797,sechzig::NUM,kuz'kümne,şêst
798,siebzig::NUM,seičemekümne,heftê
799,achtzig::NUM,kahesakümne,heştê
800,neunzig::NUM,ühesakümne,nod
801,hundert::NUM,sada,sêd
802,tausend::NUM,tuha,hezar
803,und::CNJ,i,û
804,und::CNJ,da,û
805,oder::CNJ,vai,an
806,oder::CNJ,vai,yan
807,stehen::V,seišta,sekinîn
808,sitzen::V,ištta,rûniştin
809,liegen::V,venuda,paldan
810,hängen::V,ripta,darve kirin
811,werden::V,lindä,bûn
812,werden::V,tehtas,bûn
813,passieren::V,ozaitas,hatin holê
814,passieren::V,ozaitas,hatin serê kesî
815,beginnen::V,augotadas,li dest pêkirin
