,Concept_ID,is,ml
622,geschickt::A,fimur,പ്രതിഭാശാലി
623,geschickt::A,laginn,പ്രതിഭാശാലി
624,lieb::A,kær,പ്രിയപ്പെട്ട
625,lieb::A,ljúfur,പ്രിയപ്പെട്ട
626,lustig::A,kátur,ആനന്ദകരമായ
627,sanft::A,blíður,സൌമ്യമായ
628,hungrig::A,soltinn,വിശപ്പുള്ള
629,hungrig::A,hungraður,വിശപ്പുള്ള
630,krank::A,sjúkur,അസുഖമുള്ള
631,nackt::A,nakinn,നഡമായ
632,traurig::A,dapur,വിഷമമുള്ള
633,traurig::A,hryggur,വിഷമമുള്ള
634,lebendig::A,lifandi,ഉപജീവനം
635,gut::A,góður,നല്ല
636,schlecht::A,slæmur,മോശമായ
637,schlecht::A,lélegur,മോശമായ
