,Concept_ID,is,pl
587,März::N,mars,marzec
588,April::N,apríl,kwiecień
589,Mai::N,maí,maj
590,Juni::N,júní,czerwiec
591,Juli::N,júlí,lipiec
592,August::N,ágúst,sierpień
593,September::N,september,wrzesień
594,Oktober::N,október,październik
595,November::N,nóvember,listopad
596,Dezember::N,desember,grudzień
597,Montag::N,mánudagur,poniedziałek
598,Dienstag::N,þriðjudagur,wtorek
599,Mittwoch::N,miðvikudagur,środa
600,Donnerstag::N,fimmtudagur,czwartek
601,Freitag::N,föstudagur,piątek
602,Samstag::N,laugardagur,sobota
603,Sonntag::N,sunnudagur,niedziela
604,groß::A,stór,duży
605,groß::A,stór,wielki
606,klein::A,lítill,mały
607,lang::A,langur,długi
608,kurz::A,stuttur,krótki
609,breit::A,breiður,szeroki
610,schmal::A,mjór,wąski
611,dicht::A,þéttur,gęsty
612,dick[Gegenstand]::A,þykkur,gruby
613,dünn::A,þunnur,cienki
614,fein::A,fíngerður,drobny
615,fest::A,fastur,mocny
616,fest::A,fastur,twardy
617,flach::A,flatur,płaski
618,glatt::A,háll,gładki
619,glatt::A,sléttur,gładki
620,hart::A,harður,twardy
621,weich::A,mjúkur,miękki
622,rund::A,kringlóttur,okrągły
623,spitz::A,oddhvass,spiczasty
624,scharf::A,beittur,ostry
625,stumpf::A,bitlaus,tępy
626,schwer::A,þungur,ciężki
627,schön::A,fagur,ładny
628,schön::A,fagur,piękny
629,schön::A,fallegur,ładny
630,schön::A,fallegur,piękny
631,heiß::A,heitur,gorący
632,warm::A,hlýr,ciepły
633,warm::A,heitur,ciepły
634,kalt::A,kaldur,zimny
635,kühl::A,svalur,chłodny
636,frisch::A,frískur,świeży
637,feucht::A,rakur,wilgotny
638,feucht::A,þvalur,wilgotny
639,nass::A,votur,mokry
640,nass::A,blautur,mokry
641,trocken::A,þurr,suchy
642,voll::A,fullur,pełny
643,leer::A,tómur,pusty
644,leer::A,tómur,próżny
645,offen::A,opinn,otwarty
646,geschlossen::A,lokaður,zamknięty
647,sauber::A,þrifinn,czysty
648,schmutzig::A,óhreinn,brudny
649,schmutzig::A,sóðalegur,brudny
650,roh::A,hrár,surowy
651,reif::A,þroskaður,dojrzały
652,lecker::A,ljúffengur,smaczny
653,süß::A,sætur,słodki
654,bitter::A,beiskur,gorzki
655,sauer::A,súr,kwaśny
656,hell::A,bjartur,jasny
657,dunkel::A,dimmur,ciemny
658,schwarz::A,svartur,czarny
659,weiß::A,hvítur,biały
660,rot::A,rauður,czerwony
661,gelb::A,gulur,żółty
662,blau::A,blár,błękitny
663,blau::A,blár,niebieski
664,grün::A,grænn,zielony
665,grau::A,grár,szary
666,bunt::A,marglitur,barwny
667,billig::A,ódýr,tani
668,teuer::A,dýr,drogi
669,wertvoll::A,verðmætur,cenny
670,blind::A,blindur,ślepy
671,taub::A,heyrnarlaus,głuchy
672,kräftig::A,öflugur,mocny
673,stark::A,sterkur,silny
674,schwach::A,veill,słaby
675,fett::A,feitur,tłusty
676,schlank::A,grannur,smukły
677,schlank::A,spengilegur,smukły
678,hübsch::A,snotur,ładny
679,hübsch::A,laglegur,ładny
680,böse::A,illur,zły
681,böse::A,vondur,zły
682,dumm::A,heimskur,głupi
683,faul::A,latur,leniwy
684,fleißig::A,iðinn,pilny
685,geizig::A,nískur,skąpy
686,klug::A,hygginn,mądry
687,geschickt::A,fimur,zręczny
688,geschickt::A,laginn,zręczny
689,lieb::A,kær,miły
690,lieb::A,ljúfur,miły
691,lustig::A,kátur,wesoły
692,sanft::A,blíður,łagodny
693,hungrig::A,soltinn,głodny
694,hungrig::A,hungraður,głodny
695,krank::A,sjúkur,chory
696,nackt::A,nakinn,nagi
697,traurig::A,dapur,smutny
698,traurig::A,hryggur,smutny
699,lebendig::A,lifandi,żywy
700,gut::A,góður,dobry
701,schlecht::A,slæmur,zły
702,schlecht::A,lélegur,zły
703,richtig::A,réttur,słuszny
704,richtig::A,réttur,właściwy
705,schlimm::A,slæmur,zły
706,wahr::A,sannur,prawdziwy
707,alt::A,gamall,stary
708,neu::A,nýr,nowy
709,ehemalig::A,fyrrverandi,były
710,alt[Lebewesen]::A,gamall,stary
711,jung::A,ungur,młody
712,arm::A,vesall,ubogi
713,arm::A,vesall,biedny
714,arm::A,fátækur,ubogi
715,arm::A,fátækur,biedny
716,reich::A,ríkur,bogaty
717,reich::A,auðugur,bogaty
718,bekannt::A,kunnugur,znany
719,berühmt::A,frægur,słynny
720,fremd::A,framandi,obcy
721,fremd::A,framandi,cudzy
722,fremd::A,ókunnugur,obcy
723,fremd::A,ókunnugur,cudzy
724,verschieden::A,ýmis,różny
725,nah::A,nálægur,bliski
726,fern::A,fjarri,daleki
727,fern::A,fjarlægur,daleki
728,linker::A,vinstri,lewy
729,rechter::A,hægri,prawy
730,anderer::A,annar,inny
731,erster::A,fyrsti,pierwszy
732,zweiter::A,annar,drugi
733,dritter::A,þriðji,trzeci
734,letzter::A,síðasti,ostatni
735,allein::ADV,einn,sam
736,allein::ADV,aleinn,sam
737,auf einmal::ADV,allt í einu,naraz
738,zusammen::ADV,saman,razem
739,lange::ADV,lengi,długo
740,plötzlich::ADV,skyndilega,nagle
741,sofort::ADV,strax,natychmiast
742,sofort::ADV,þegar í stað,natychmiast
743,später::ADV,seinna,później
744,jetzt::ADV,nú,teraz
745,jetzt::ADV,nú,obecnie
746,jetzt::ADV,núna,teraz
747,jetzt::ADV,núna,obecnie
748,heute::ADV,í dag,dziś
749,heute::ADV,í dag,dzisiaj
750,morgen::ADV,á morgun,jutro
751,bald::ADV,brátt,wkrótce
752,bald::ADV,bráðum,wkrótce
753,dann::ADV,svo,potem
754,dann::ADV,síðan,potem
755,gestern::ADV,í gær,wczoraj
756,einst::ADV,forðum,kiedyś
757,einst::ADV,forðum,niegdyś
758,damals::ADV,þá,wtedy
759,damals::ADV,þá,wówczas
760,damals::ADV,á þeim tímum,wtedy
761,damals::ADV,á þeim tímum,wówczas
762,danach::ADV,á eftir því,następnie
763,vorher::ADV,áður,przedtem
764,zuerst::ADV,fyrst,naprzód
765,zuerst::ADV,fyrst,najpierw
766,einmal::ADV,einu sinni,raz
767,manchmal::ADV,stundum,czasem
768,oft::ADV,oft,często
769,immer::ADV,alltaf,zawsze
770,immer::ADV,sífellt,zawsze
771,niemals::ADV,aldrei,nigdy
772,hier::ADV,hér,tu
773,hier::ADV,hér,tutaj
774,hierhin::ADV,hingað,tu
775,von hier::ADV,héðan,stąd
776,dort::ADV,þar,tam
777,dort::ADV,þarna,tam
778,dorthin::ADV,þangað,tam
779,geradeaus::ADV,beint áfram,prosto
780,vorwärts::ADV,áfram,naprzód
781,rückwärts::ADV,aftur á bak,wstecz
782,zurück::ADV,aftur,z powrotem
783,zurück::ADV,til baka,z powrotem
784,unten::ADV,niðri,u dołu
785,unten::ADV,niðri,na dole
786,unten::ADV,fyrir neðan,u dołu
787,unten::ADV,fyrir neðan,na dole
788,hinab::ADV,niður,na_dół
789,hinab::ADV,niður,w_dół
790,hinab::ADV,niður eftir,na_dół
791,hinab::ADV,niður eftir,w_dół
792,oben::ADV,uppi,w górze
793,oben::ADV,uppi,na górze
794,hinauf::ADV,upp,w górę
795,hinauf::ADV,upp,na górę
796,hinauf::ADV,upp eftir,w górę
797,hinauf::ADV,upp eftir,na górę
798,überall::ADV,alls staðar,wszędzie
799,nicht::ADV,ekki,nie
800,ein wenig::ADV,dálítið,trochę
801,kaum::ADV,varla,ledwie
802,kaum::ADV,varla,prawie nie
