,Concept_ID,be,ca
533,Feind::N,вораг,enemic
534,Gewalt::N,насілле,violència
535,Kampf::N,барацьба,lluita
536,Bogen[Waffe]::N,лук,arc
537,Pfeil::N,страла,fletxa
538,Gewehr::N,ружжо,fusell
539,Gewehr::N,ружжо,escopeta
540,Fehler::N,памылка,falta
541,Lüge::N,хлусня,mentida
542,Schaden::N,шкода,dany
543,Unglück::N,ліха,desgràcia
544,Unglück::N,бядота,desgràcia
545,Schuld::N,віна,culpa
546,Alter::N,узрост,edat
547,Schluss::N,канец,fi
548,Schluss::N,канец,final
549,Zeit::N,час,temps
550,Tag::N,дзень,dia
551,Morgen::N,ранак,matí
552,Morgen::N,раніца,matí
553,Mittag::N,паўдня,migdia
554,Mittag::N,поўдзень,migdia
555,Abend::N,вечар,vespre
556,Nacht::N,ноч,nit
557,Woche::N,тыдзень,setmana
558,Monat::N,месяц,mes
559,Jahr::N,год,any
560,Frühling::N,вясна,primavera
561,Sommer::N,лета,estīu
562,Herbst::N,восень,tardor
563,Winter::N,зіма,hivērn
564,Januar::N,студзень,gener
565,Februar::N,люты,febrer
566,März::N,сакавік,març
567,April::N,красавік,abril
568,Mai::N,май,maig
569,Mai::N,травень,maig
570,Juni::N,чэрвень,juny
571,Juli::N,ліпень,juliol
572,August::N,жнівень,agost
573,September::N,верасень,setembre
574,Oktober::N,кастрычнік,octubre
575,November::N,лістапад,novembre
576,Dezember::N,снежань,desembre
577,Montag::N,панядзелак,dilluns
578,Dienstag::N,аўторак,dimarts
579,Mittwoch::N,серада,dimecres
580,Donnerstag::N,чацвер,dijous
581,Freitag::N,пятніца,divendres
582,Samstag::N,субота,dissabte
583,Sonntag::N,нядзеля,diumenge
584,groß::A,вялікі,gros
585,klein::A,маленькі,petīt
586,lang::A,доўгі,llarg
587,kurz::A,кароткі,curt
588,breit::A,шырокі,ample
589,schmal::A,вузкі,estret
590,dicht::A,густы,dens
591,dick[Gegenstand]::A,тоўсты,gruixūt
592,dünn::A,тонкі,prim
593,fein::A,тонкі,fi
594,fest::A,моцны,ferm
595,fest::A,моцны,sòlid
596,flach::A,плоскі,pla
597,glatt::A,гладкі,llis
598,hart::A,цвёрды,dur
599,weich::A,мяккі,tou
600,rund::A,круглы,rodó
601,spitz::A,спічасты,punxegut
602,spitz::A,востраканцовы,punxegut
603,scharf::A,востры,agut
604,stumpf::A,тупы,rom
605,stumpf::A,тупы,esmussat
606,schwer::A,цяжкі,pesāt
607,schön::A,прыгожы,bonīc
608,heiß::A,гарачы,calēnt
609,warm::A,цёплы,càlid
610,kalt::A,холадны,fred
611,kühl::A,халаднаваты,fresc
612,frisch::A,свежы,fresc
613,feucht::A,вільготны,humit
614,nass::A,мокры,mullat
615,trocken::A,сухі,sec
616,voll::A,поўны,ple
617,leer::A,пусты,buit
618,offen::A,адкрыты,obert
619,offen::A,адчынены,obert
620,geschlossen::A,закрыты,tancat
621,geschlossen::A,зачынены,tancat
622,sauber::A,чысты,net
