,Concept_ID,mhr,lez
609,stumpf::A,токма́к,къуьруь
610,schwer::A,не́ле,залан
611,schön::A,сы́лне,иер
612,heiß::A,шо́кшо,кудай
613,warm::A,ле́ве,чими
614,kalt::A,йӱ́штӧ,мекьи
615,kühl::A,юа́лге,къайи
616,kühl::A,южгата́,къайи
617,frisch::A,свежа́,таза
618,frisch::A,свежа́,михьи
619,feucht::A,вӱ́дыжгӧ,ламу
620,nass::A,нӧ́рӧ,кьежей
621,trocken::A,ку́кшо,кьуру
622,voll::A,тич,ацӏай
623,leer::A,яра́,буш
624,leer::A,яра́,ичӏи
625,offen::A,виш,ахъа
626,geschlossen::A,пе́тырыме,кӏеви
627,geschlossen::A,тӱ́чмӧ,кӏеви
628,sauber::A,ару́,михьи
629,sauber::A,янда́р,михьи
630,schmutzig::A,лавыра́н,чиркин
631,schmutzig::A,лавыра́н,кьацӏай
632,schmutzig::A,ла́выргыше,чиркин
633,schmutzig::A,ла́выргыше,кьацӏай
634,roh::A,кӱ́чымӧ,чиг
635,roh::A,кӱ́чымӧ,ицӏи
636,reif::A,лӧза́,дигмиш хьайи
637,lecker::A,ту́тло,дадлу
638,süß::A,ше́ре,ширин
639,bitter::A,ко́чо,туькьуьл
640,sauer::A,шо́по,цуру
641,hell::A,во́лгыдо,экуь
642,dunkel::A,пычке́мыш,мичӏи
643,schwarz::A,шола́,чӏулав
644,weiß::A,ош,лацу
645,rot::A,йошка́р,яру
646,gelb::A,сар,хъипи
647,blau::A,ка́нде,вили
648,grün::A,ужа́р,къацу
649,grau::A,сур,рехи
650,bunt::A,олача́,цӏару
651,bunt::A,олача́,яру-цӏару
652,billig::A,шу́лдо,ужуз
653,teuer::A,ше́рге,багьа
654,wertvoll::A,шергака́н,масан
655,blind::A,со́кыр,буьркьуь
656,taub::A,соҥгыра́,биши
657,kräftig::A,куа́тле,гужлу
658,stark::A,вия́н,къуватлу
659,schwach::A,а́лдыме,такьатсуз
660,fett::A,коя́,куьк
661,schlank::A,йоштката́,шумал
662,schlank::A,яжу́,шумал
663,hübsch::A,чеве́р,гуьрчег
664,böse::A,шы́де,пис
665,dumm::A,аҥыра́,ахмакь
666,faul::A,його,тенпел
667,fleißig::A,ты́ршыше,сяй ийидай
668,fleißig::A,ты́ршыше,сяйи ийидай
669,geizig::A,чаҥга́,мискьи
670,klug::A,уша́н,акьуллу
671,geschickt::A,уста́,магьир
672,lieb::A,ала́л,играми
673,lustig::A,весела́,шад
674,sanft::A,ны́жылге,назик
675,sanft::A,ны́жылге,милайим
676,hungrig::A,шу́жышо,гишин
677,krank::A,че́рле,кефсуз
678,nackt::A,чарама́т,кьецӏил
679,traurig::A,ойга́н,пашман
680,lebendig::A,и́лыше,ччан алай
681,gut::A,сай,хъсан
682,gut::A,сай,вижевай
683,schlecht::A,уда́,пис
684,schlecht::A,шӱ́кшӧ,пис
685,richtig::A,чы́нле,дуьз
686,schlimm::A,аля́к,нифретлу
687,schlimm::A,тыра́н,нифретлу
688,wahr::A,чы́нле,гьакъикъи
689,wahr::A,настоя́щий,гьакъикъи
690,alt::A,то́што,эски
691,alt::A,то́што,куьгьне
692,neu::A,у,цӏийи
693,ehemalig::A,о́нчычсо,виликан
694,ehemalig::A,онда́кысе,виликан
695,alt[Lebewesen]::A,шо́нто,кьуьзуь
696,jung::A,са́мырык,жегьил
697,arm::A,нужна́,кесиб
698,reich::A,поя́н,девлетлу
699,bekannt::A,па́лыме,чидай
700,berühmt::A,лӱ́млӧ,машгьур
701,fremd::A,йот,ччара
702,verschieden::A,тӱ́рлӧ,жуьреба-жуьре
703,nah::A,ли́шыл,мукьвал
704,fern::A,тора́,яргъал
705,fern::A,мӱ́ндыр,яргъал
706,linker::A,шола́,чапла
707,rechter::A,пурла́,эрчӏи
708,anderer::A,вес,маса
709,anderer::A,вес,муькуь
710,anderer::A,мо́ло,маса
711,anderer::A,мо́ло,муькуь
712,erster::A,и́кымше,сад лагьай
713,zweiter::A,ко́кымшо,кьвед лагьай
714,dritter::A,ку́мшо,пуд лагьай
715,letzter::A,пыта́ртыш,эхиримжи
716,allein::ADV,шкет,кьилди
717,auf einmal::ADV,икана́ште,
718,zusammen::ADV,пырля́,санал
719,lange::ADV,кужу́н,яргъалди
