,Concept_ID,ce,de
297,Lagerfeuer::N,цӏе,Lagerfeuer
298,Last::N,дукъ,Last
299,Gang::N,лелар,Gang
300,Schritt::N,гӏулч,Schritt
301,Norden::N,къилбаседе,Norden
302,Süden::N,къилбе,Süden
303,Westen::N,малхбузе,Westen
304,Osten::N,малхбале,Osten
305,Holz::N,дечиг,Holz
306,Brett::N,у,Brett
307,Platte::N,у,Platte
308,Stütze::N,гӏopтоp,Stütze
309,Stange::N,гӏуркх,Stange
310,Stock::N,ӏаса,Stock
311,Stab::N,гӏаж,Stab
312,Rohr::N,биргӏа,Rohr
313,Haus::N,цӏа,Haus
314,Heim::N,кхерч,Heim
315,Ofen::N,кхерч,Ofen
316,Fußboden::N,цӏенкъа,Fußboden
317,Tisch::N,шун,Tisch
318,Stuhl::N,гӏант,Stuhl
319,Wiege::N,ага,Wiege
320,Bett::N,маьнга,Bett
321,Regal::N,терхи,Regal
322,Kiste::N,яьшка,Kiste
323,Fenster::N,кор,Fenster
324,Tür::N,неӏ,Tür
325,Tor::N,ков,Tor
326,Zaun::N,керт,Zaun
327,Dach::N,тхов,Dach
328,Leiter::N,лами,Leiter
329,Besen::N,нуй,Besen
330,Spaten::N,бел,Spaten
331,Schaufel::N,аьшкал,Schaufel
332,Gabel::N,мӏара,Gabel
333,Löffel::N,ӏайг,Löffel
334,Messer::N,урс,Messer
335,Nagel::N,хьостам,Nagel
336,Netz::N,бой,Netz
337,Haken::N,мӏара,Haken
338,Schloss::N,чӏега,Schloss
339,Bild::N,сурт,Bild
340,Puppe::N,тайниг,Puppe
341,Beutel::N,гали,Beutel
342,Bündel::N,кочар,Bündel
343,Tasche::N,тӏоьрмиг,Tasche
344,Eimer::N,чийлик,Eimer
345,Deckel::N,негӏар,Deckel
346,Geschirr::N,пхьегӏа,Geschirr
347,Sack::N,гали,Sack
348,Tasse::N,кад,Tasse
349,Topf::N,яй,Topf
350,Kessel::N,яй,Kessel
351,Essen::N,юург,Essen
352,Nahrung::N,кхача,Nahrung
353,Speise::N,юург,Speise
354,Fleisch::N,жижиг,Fleisch
355,Getreide::N,буьртиг,Getreide
356,Brei::N,xудар,Brei
357,Brot::N,бепиг,Brot
358,Brot::N,кхаллар,Brot
359,Scheibe::N,цастар,Scheibe
360,Fett::N,мохь,Fett
361,Butter::N,налха,Butter
362,Öl::N,даьтта,Öl
363,Salz::N,туьха,Salz
364,Suppe::N,чорпа,Suppe
365,Honig::N,моз,Honig
366,Milch::N,шура,Milch
