,Concept_ID,da,et
763,wohin::FADV,hvorhen,kuhu
764,wie::FADV,hvordan,kuidas
765,warum::FADV,hvorfor,miks
766,wieviel::FNUM,hvor meget,mitu
767,wieviel::FNUM,hvor meget,kui palju
768,eins::NUM,én,üks
769,zwei::NUM,to,kaks
770,drei::NUM,tre,kolm
771,vier::NUM,fire,neli
772,fünf::NUM,fem,viis
773,sechs::NUM,seks,kuus
774,sieben::NUM,syv,seitse
775,acht::NUM,otte,kaheksa
776,neun::NUM,ni,üheksa
777,zehn::NUM,ti,kümme
778,elf::NUM,elleve,üksteist
779,zwölf::NUM,tolv,kaksteist
780,zwanzig::NUM,tyve,kakskümmend
781,dreißig::NUM,tredive,kolmkümmend
782,vierzig::NUM,fyrre,nelikümmend
783,vierzig::NUM,fyrretyve,nelikümmend
784,fünfzig::NUM,halvtreds,viiskümmend
785,sechzig::NUM,tres,kuuskümmend
786,siebzig::NUM,halvfjerds,seitsekümmend
787,achtzig::NUM,firs,kaheksakümmend
788,neunzig::NUM,halvfems,üheksakümmend
789,hundert::NUM,hundrede,sada
790,tausend::NUM,tusind,tuhat
791,und::CNJ,og,ja
792,oder::CNJ,eller,või
793,stehen::V,stå,seisma
794,sitzen::V,sidde,istuma
795,liegen::V,ligge,lamama
796,hängen::V,hænge,rippuma
797,werden::V,blive,saama
798,werden::V,blive,hakkama
799,passieren::V,ske,juhtuma
800,passieren::V,hænde,juhtuma
801,beginnen::V,begynde,algama
802,beginnen::V,begynde,hakkama
803,enden::V,ende,lõppema
804,wechseln::V,veksle,vahelduma
805,aufgehen[Sonne]::V,gå op,tõusma
806,aufgehen[Sonne]::V,stå op,tõusma
807,untergehen[Sonne]::V,gå ned,loojuma
808,scheinen[Sonne]::V,skinne,paistma
809,donnern::V,tordne,kõmisema
810,wehen::V,blæse,puhuma
811,strömen::V,strømme,voolama
812,fließen::V,flyde,voolama
813,sich drehen::V,dreje sig,pöörduma
814,schwanken::V,vakle,kõikuma
815,schwingen::V,svinge,võnkuma
816,fallen::V,falde,langema
817,brennen::V,brænde,põlema
818,rauchen::V,ryge,suitsema
819,regnen::V,regne,sadama
820,gefrieren::V,fryse,kinni külmuma
821,tauen::V,tø,sulama
822,schmelzen::V,smelte,sulama
823,trocknen::V,tørre,kuivama
824,sieden::V,koge,keema
825,faulen::V,rådne,mädanema
826,verfaulen::V,rådne,mädanema
827,reißen::V,briste,rebenema
828,versinken::V,synke,uppuma
829,versinken::V,synke ned,uppuma
830,vergehen::V,forløbe,mööduma
831,erscheinen::V,vise sig,ilmuma
832,verschwinden::V,forsvinde,kaduma
833,sinken::V,synke,vajuma
834,sinken::V,synke,langema
835,abnehmen::V,aftage,vähenema
836,abnehmen::V,aftage,kahenema
837,zunehmen::V,tiltage,kasvama
838,steigen::V,stige,tõusma
839,steigen::V,stige,üles minema
840,wachsen::V,gro,kasvama
841,wachsen::V,vokse,kasvama
842,glänzen::V,glinse,läikimä
843,funkeln::V,tindre,sädelema
844,lärmen::V,larme,lärmama
845,läuten::V,ringe,helisema
846,klingeln::V,ringe,helisema
847,klirren::V,klirre,kõlisema
