,Concept_ID,,ko
823,fühlen::V,,느끼다
824,scheinen::V,,...것같다
825,zu sehen sein::V,,보이는
826,vernehmen::V,,듣다
827,vernehmen::V,,들어서일다
828,frieren::V,,춥다
829,tun::V,,하다
830,können::V,,할주릴다
831,wollen::V,,바라다
832,anfangen::V,,시작하다
833,beenden::V,,다하다
834,aufhören::V,,그만두다
835,gelingen::V,,성국하다
836,geraten::V,,잘되어가다
837,öffnen::V,,열다
838,schließen::V,,추측하다
839,stellen::V,,세우다
840,setzen::V,,놓다
841,legen::V,,눕히다
842,berühren::V,,대다
843,verbinden::V,,옝열하다
844,bedecken::V,,덮다
845,aufhängen::V,,매달다
846,anzünden::V,,점화하다
847,aufheben::V,,위로올리다
848,zurücklassen::V,,튀에남기다
849,verlieren::V,,잃다
850,fallen lassen::V,,떨어뜨리다
851,machen::V,,하다
852,herstellen::V,,제조하다
853,bauen::V,,짓다
854,reparieren::V,,수셩자다
855,verbessern::V,,정정하다
856,ändern::V,,바꾸다
857,graben::V,,파다
858,beugen::V,,구부리다
859,biegen::V,,굽히다
860,drehen::V,,회전
861,wenden::V,,회전시키다
862,umdrehen::V,,회전시키다
863,heben::V,,일으아키다
864,hochheben::V,,틀어올리다
865,ergreifen::V,,잡다
866,halten::V,,잡다
867,drücken::V,,누르다
868,schieben::V,,밀다
869,kratzen::V,,긁다
870,lecken::V,,핥다
871,beißen::V,,물다
872,abschneiden::V,,귾어내다
873,binden::V,,매다
874,stecken::V,,찌르다
875,brechen::V,,금
876,klopfen::V,,치다
877,hauen::V,,때리다
878,kleben::V,,들러붙다
879,reiben::V,,문지르다
880,streichen::V,,쓰다듬다
881,schleifen::V,,갈다
882,schneiden::V,,베다
883,rütteln::V,,흔들다
884,schütteln::V,,흔들다
885,schwenken::V,,흔들다
886,schütten::V,,따르다
887,füllen::V,,담다
888,einwickeln::V,,싸다
889,tragen::V,,지우다
890,schleppen::V,,끌다
891,ziehen::V,,당기다
892,aufbewahren::V,,간직하다
893,werfen::V,,던지다
894,fangen::V,,밥다
895,packen::V,,쥐다
896,verstecken::V,,숨기다
897,teilen::V,,나누다
898,schicken::V,,보내다
899,bringen::V,,가겨
900,hinzufügen::V,,부가하다
901,bekommen::V,,얻다
902,erhalten::V,,지니다
903,nehmen::V,,잡다
904,wählen::V,,선거하다
905,auswählen::V,,선출하다
906,bewahren::V,,저장보종
907,behindern::V,,훼방하다
908,verderben::V,,못쓰게 되다
909,beschädigen::V,,상하게하다
910,zerbrechen::V,,깨뜨리다
911,zerreißen::V,,잡아쫓다
912,zerstören::V,,파괴하다
913,verbrennen::V,,소실하다
914,geben::V,,주다
915,reichen::V,,내일다
916,schenken::V,,주다
917,versprechen::V,,약속하다
918,wünschen::V,,바라다
919,loben::V,,칭찬하다
920,küssen::V,,키스하다
921,wiegen::V,,어르다
922,zudecken::V,,뚜꺼을하다
923,wecken::V,,깨우다
924,zeigen::V,,보이다
925,führen::V,,가게하다
926,lehren::V,,가르치다
927,unterrichten::V,,가르지다
928,aufziehen::V,,사육하다
929,leiten::V,,이끌다
930,antreiben::V,,몰다
931,lassen::V,,내버려두다
932,einladen::V,,초청하다
933,vereinigen::V,,하나로하다
934,besuchen::V,,방문하다
935,treffen::V,,만나다
936,sich versammeln::V,,조립하다
937,spielen::V,,눌다
938,singen::V,,노래하다
939,tanzen::V,,춤추하다
940,sich trennen::V,,가르다
941,verlassen::V,,버림받은
942,retten::V,,구조하다
943,bewachen::V,,치키다
944,schützen::V,,보호하다
945,verteidigen::V,,막다
