,Concept_ID,ml,kn
284,Spitze::N,അഗ്രം,ತುದಿ
285,Ende::N,അവസാനം,ಕೊನೆ
286,Loch::N,ദ്വാരം,ತೂತು
287,Winkel::N,കോൺ,ಕೋನ
288,Muster::N,ക്രമം,ನಮೂನೆ
289,Größe::N,വലുപ്പം,ಪ್ರಮಾಣ
290,Länge::N,നീളം,ಉದ್ದ
291,Höhe::N,ഉയരം,ಎತ್ತರ
292,Gewicht::N,കട്ടി,ತೂಕ
293,Menge::N,അളവ്,ಮೊತ್ತ
294,Haufen::N,കൂമ്പാരം,ರಾಶಿ
295,Reihe::N,വരി,ಸಾಲು
296,Boot::N,ബോട്ട്,ದೋಣಿ
297,Ruder::N,പങ്കായം,ಹುಟ್ಟು
298,Schlitten::N,ഉരുളില്ലാവണ്ടി,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
299,Ski::N,ഹിമപാദുകം,ಜಾರುಪಟ್ಟಿ
300,Lagerfeuer::N,തീ,ಶಿಬಿರಾಗ್ನಿ
301,Last::N,ഭാരം,ಹೊರೆ
302,Gang::N,നടത്തം,ತಿರುಗಾಟ
303,Schritt::N,ചുവട്,ಹೆಜ್ಜೆ
304,Norden::N,വടക്ക്,ಉತ್ತರ
305,Süden::N,തെക്ക്,ದಕ್ಷಿಣ
306,Westen::N,പടിഞ്ഞാറ്,ಪಶ್ಚಿಮ
307,Osten::N,കിഴക്ക്,ಮೂಡಲು
308,Holz::N,തടി,ಚೌಬೀನೆ
309,Brett::N,ബോർഡ്,ಹಲಗೆ
310,Platte::N,തകിട്,ಹಲಗೆ
311,Stütze::N,താങ്ങ്,ಆಸರೆ
312,Stange::N,കമ്പ്,ಕಂಬ
313,Stock::N,വടി,ಕೋಲು
314,Stab::N,കുറുവടി,ದೊಣ್ಣೆ
315,Rohr::N,കുഴൽ,ನಳಿಕೆ
316,Haus::N,വീട്,ಮನೆ
317,Heim::N,വീട്,ಗೃಹ
318,Ofen::N,സ്റ്റൌ,ಒಲೆ
319,Fußboden::N,തറ,ನೆಲ
320,Tisch::N,മേശ,ಮೇಜು
321,Stuhl::N,കസേര,ಕುರ್ಚಿ
322,Wiege::N,തൊട്ടിൽ,ತೊಟ್ಟಿಲು
323,Bett::N,കിടക്ക,ಹಾಸಿಗೆ
324,Regal::N,ഷെൽഫ്,ಬೀರು
325,Kiste::N,പെട്ടി,ಪಟ್ಟಿಗೆ
326,Fenster::N,ജനൽ,ಕಿಟಕಿ
327,Tür::N,വാതിൽ,ಬಾಗಿಲು
