,Concept_ID,fr,et
795,sofort::ADV,immédiatement,kohe
796,später::ADV,plus tard,hiljem
797,jetzt::ADV,maintenant,nüüd
798,heute::ADV,aujourd'hui,täna
799,morgen::ADV,demain,homme
800,bald::ADV,bientôt,pea
801,bald::ADV,bientôt,varsti
802,dann::ADV,puis,siis
803,dann::ADV,ensuite,siis
804,gestern::ADV,hier,eile
805,einst::ADV,jadis,vanasti
806,einst::ADV,autrefois,vanasti
807,damals::ADV,alors,tookord
808,damals::ADV,à l'époque,tookord
809,danach::ADV,après,seejärel
810,danach::ADV,ensuite,seejärel
811,vorher::ADV,auparavant,enne
812,zuerst::ADV,d'abord,enne
813,zuerst::ADV,d'abord,esmalt
814,zuerst::ADV,premièrement,enne
815,zuerst::ADV,premièrement,esmalt
816,einmal::ADV,une fois,kord
817,einmal::ADV,une fois,üks kord
818,manchmal::ADV,parfois,mõnikord
819,manchmal::ADV,quelquefois,mõnikord
820,oft::ADV,souvent,tihti
821,oft::ADV,souvent,sageli
822,immer::ADV,toujours,ikka
823,immer::ADV,toujours,alati
824,niemals::ADV,ne ... jamais,mitte kunagi
825,hier::ADV,ici,siin
826,hierhin::ADV,par ici,siia
827,von hier::ADV,d'ici,siit
828,dort::ADV,là,seal
829,dort::ADV,là-bas,seal
830,dorthin::ADV,y,sinna
831,dorthin::ADV,par là,sinna
832,geradeaus::ADV,tout droit,otse edasi
833,vorwärts::ADV,en avant,edasi
834,rückwärts::ADV,en arrière,tagurpidi
835,zurück::ADV,de retour,tagasi
836,unten::ADV,en bas,all
837,unten::ADV,en bas,allpool
838,unten::ADV,au-dessous,all
839,unten::ADV,au-dessous,allpool
840,hinab::ADV,en bas,alla
841,hinab::ADV,vers le bas,alla
842,oben::ADV,dessus,ülal
843,oben::ADV,en haut,ülal
844,hinauf::ADV,en haut,üles
845,hinauf::ADV,vers le haut,üles
846,überall::ADV,partout,kõikjal
847,nicht::ADV,ne ... pas,ei
848,nicht::ADV,ne ... pas,mitte
849,ein wenig::ADV,un peu,veidi
