,Concept_ID,nl,kl
139,Insel::N,eiland,qeqertaq
140,Blume::N,bloem,naasoq
141,Gras::N,gras,ivigaq
142,Wurzel::N,wortel,niulutaq
143,Baum::N,boom,orpik
144,Stamm::N,stam,kanaartaq
145,Rinde::N,schors,ameraq
146,Ast::N,tak,avalequt
147,Zweig::N,twijg,avalequt
148,Blatt::N,blad,pilutaq
149,Birke::N,berk,patitsit
150,Kiefer[Baum]::N,den,
151,Weide[Baum]::N,wilg,palleq
152,Tanne::N,spar,orsuerneq
153,Horn::N,hoorn,nassuk
154,Feder::N,veer,suluk
155,Feder::N,pluim,suluk
156,Fell::N,vel,ameq
157,Flügel::N,vleugel,suluk
158,Flügel::N,vleugel,isaroq
159,Klaue::N,klauw,kukik
160,Kralle::N,klauw,kukik
161,Schwanz::N,staart,pamioq
162,Schwanz::N,staart,paperuusaq
163,Ei::N,ei,mannik
164,Nest::N,nest,ullut
165,Bau::N,hol,ini
166,Tier::N,dier,uumasoq
167,Herde::N,kudde,unguukkat
168,Kuh::N,koe,ussik
169,Bulle::N,stier,angukulak
170,Bulle::N,stier,anguteralak
171,Bulle::N,stier,angutikulooq
172,Pferd::N,paard,
173,Schaf::N,schaap,sava
174,Schwein::N,varken,puuluki
175,Hund::N,hond,qimmeq
176,Katze::N,kat,puisaaq
177,Bär::N,beer,allaq
178,Eichhörnchen::N,eekhoorntje,sissinnguaq
179,Elch::N,eland,
180,Fuchs::N,vos,terianniaq
181,Hase::N,haas,ukaleq
182,Maus::N,muis,teriannguaq
183,Wolf::N,wolf,amaroq
184,Vogel::N,vogel,timmiaq
185,Schwarm::N,zwerm,
186,Huhn::N,kip,kukkukooq
187,Huhn::N,kip,marloraaqaaq
188,Huhn::N,hoen,kukkukooq
189,Huhn::N,hoen,marloraaqaaq
190,Hahn::N,haan,kiasiusaq
191,Gans::N,gans,nerleq
192,Adler::N,arend,nattoralik
193,Ente::N,eend,
194,Eule::N,uil,uppik
195,Kranich::N,kraanvogel,qorlorfik
196,Krähe::N,kraai,tuluatsiaq
197,Kuckuck::N,koekoek,kukkooq
198,Schwan::N,zwaan,qussuk
199,Fisch::N,vis,aalisagaq
200,Barsch::N,baars,
201,Hecht::N,snoek,
202,Schlange[Tier]::N,slang,pulateriarsuk
203,Schlange[Tier]::N,slang,pulateriaarsuk
204,Wurm::N,worm,
205,Spinne::N,spin,aasiaq
206,Spinne::N,spin,nissavaarsuk
207,Ameise::N,mier,uniaaluk
208,Laus::N,luis,kumak
209,Mücke::N,mug,ippernaq
210,Fliege::N,vlieg,ippernaq
211,Schmetterling::N,vlinder,paluaq
212,Schmetterling::N,vlinder,pakkaluaq
213,Schmetterling::N,vlinder,utsuppaluaq
214,Schmetterling::N,vlinder,taqaleqisaaq
215,Beere::N,bes,paarmaq
216,Beere::N,bes,paarngaq
217,Apfel::N,appel,iipili
218,Pilz::N,paddestoel,anngiusaq
219,Zwiebel::N,ui,uanitsoq
220,Saat::N,zaad,naatsiiassaq
221,Korn::N,graan,maannineq
222,Korn::N,korrel,maannineq
223,Heu::N,hooi,
224,Schale::N,schil,niutsivik
225,Schale::N,schil,ilulissaq qaartussaq
226,Grube::N,kuil,itersaq
227,Falle::N,val,pualavoq
228,Schlinge::N,strop,orseq
229,Schlinge::N,strop,norloq
230,Spur::N,spoor,tumaa
231,Asche::N,as,arsat
232,Dreck::N,drek,minguk
233,Eisen::N,ijzer,savimineq
