,Concept_ID,es,it
817,reich::A,rico,ricco
818,bekannt::A,conocido,noto
819,bekannt::A,conocido,conosciuto
820,berühmt::A,famoso,famoso
821,berühmt::A,famoso,cèlebre
822,berühmt::A,célebre,famoso
823,berühmt::A,célebre,cèlebre
824,fremd::A,extraño,estràneo
825,fremd::A,extraño,straniero
826,verschieden::A,diverso,diverso
827,verschieden::A,diverso,differente
828,verschieden::A,distinto,diverso
829,verschieden::A,distinto,differente
830,verschieden::A,diferente,diverso
831,verschieden::A,diferente,differente
832,nah::A,cercano,vicino
833,nah::A,cercano,propinquo
834,fern::A,lejano,lontano
835,linker::A,izquierdo,sinistro
836,rechter::A,derecho,destro
837,anderer::A,otro,altro
838,erster::A,primero,primo
839,zweiter::A,segundo,secondo
