,Concept_ID,fr,sv
598,Macht::N,puissance,makt
599,Grenze::N,frontière,gräns
600,Krieg::N,guerre,krig
601,Feind::N,ennemi,fiende
602,Gewalt::N,violence,våld
603,Kampf::N,lutte,kamp
604,Kampf::N,lutte,strid
605,Kampf::N,combat,kamp
606,Kampf::N,combat,strid
607,Bogen[Waffe]::N,arc,båge
608,Pfeil::N,flèche,pil
609,Gewehr::N,fusil,gevär
610,Fehler::N,faute,fel
611,Fehler::N,erreur,fel
612,Lüge::N,mensonge,lögn
613,Schaden::N,dégât,skada
614,Schaden::N,dommage,skada
615,Unglück::N,malheur,otur
616,Unglück::N,malheur,olycka
617,Schuld::N,faute,skuld
618,Schuld::N,culpabilité,skuld
619,Alter::N,âge,ålder
620,Schluss::N,fin,slut
621,Zeit::N,temps,tid
622,Tag::N,jour,dag
623,Tag::N,journée,dag
624,Morgen::N,matin,morgon
625,Morgen::N,matinée,morgon
626,Mittag::N,midi,middag
627,Abend::N,soir,kväll
628,Abend::N,soirée,kväll
629,Nacht::N,nuit,natt
630,Woche::N,semaine,vecka
631,Monat::N,mois,månad
632,Jahr::N,an,år
633,Jahr::N,année,år
634,Frühling::N,printemps,vår
635,Sommer::N,été,sommar
636,Herbst::N,automne,höst
637,Winter::N,hiver,vinter
638,Januar::N,janvier,januari
639,Februar::N,février,februari
640,März::N,mars,mars
641,April::N,avril,april
642,Mai::N,mai,maj
643,Juni::N,juin,juni
644,Juli::N,juillet,juli
645,August::N,août,augusti
646,September::N,septembre,september
647,Oktober::N,octobre,oktober
648,November::N,novembre,november
649,Dezember::N,décembre,december
650,Montag::N,lundi,måndag
651,Dienstag::N,mardi,tisdag
652,Mittwoch::N,mercredi,onsdag
653,Donnerstag::N,jeudi,torsdag
654,Freitag::N,vendredi,fredag
655,Samstag::N,samedi,lördag
656,Sonntag::N,dimanche,söndag
657,groß::A,grand,stor
658,klein::A,petit,liten
659,lang::A,long,lång
660,kurz::A,court,kort
661,breit::A,large,bred
662,schmal::A,étroit,smal
663,dicht::A,dense,tät
664,dick[Gegenstand]::A,épais,tjock
665,dünn::A,mince,tunn
666,fein::A,fin,fin
667,fein::A,menu,fin
668,fest::A,ferme,fast
669,fest::A,solide,fast
670,flach::A,plat,platt
671,glatt::A,poli,glatt
672,glatt::A,lisse,glatt
673,hart::A,dur,hård
674,weich::A,mou,mjuk
675,rund::A,rond,rund
676,spitz::A,aigu,toppig
677,spitz::A,aigu,spetsig
678,spitz::A,pointu,toppig
679,spitz::A,pointu,spetsig
680,scharf::A,tranchant,vass
681,scharf::A,tranchant,skarp
682,stumpf::A,mousse,slö
683,stumpf::A,émoussé,slö
684,schwer::A,lourd,tung
685,schwer::A,pesant,tung
686,schön::A,beau,skön
687,schön::A,beau,vacker
688,heiß::A,chaud,het
689,heiß::A,très chaud,het
690,warm::A,chaud,varm
691,kalt::A,froid,kall
692,kühl::A,frais,sval
693,kühl::A,frais,kylig
694,frisch::A,frais,färsk
695,feucht::A,humide,fuktig
696,nass::A,mouillé,våt
697,trocken::A,sec,torr
698,voll::A,plein,full
699,voll::A,rempli,full
700,leer::A,vide,tom
701,offen::A,ouvert,öppen
