,Concept_ID,is,bg
530,Stärke::N,styrkur,сила
531,Gesundheit::N,heilsa,здраве
532,Gesundheit::N,heilbrigði,здраве
533,Krankheit::N,sjúkdómur,болест
534,Schmerz::N,sársauki,болка
535,Wunde::N,sár,рана
536,Fieber::N,hitasótt,треска
537,Fieber::N,hitasótt,температура
538,Arznei::N,lyf,лек
539,Arznei::N,lyf,лекарство
540,Brücke::N,brú,мост
541,Brunnen::N,brunnur,чешма
542,Brunnen::N,brunnur,кладенец
543,Weide::N,hagi,паша
544,Weide::N,hagi,пасище
545,Pfad::N,stígur,пътека
546,Weg::N,vegur,път
547,Straße::N,gata,шосе
548,Straße::N,stræti,шосе
549,Dorf::N,þorp,село
550,Stadt::N,borg,град
551,Brief::N,bréf,писмо
552,Buch::N,bók,книга
553,Buchstabe::N,bókstafur,буква
554,Zeitung::N,dagblað,вестник
555,Leben::N,líf,живот
556,Tod::N,dauði,смърт
557,Grab::N,gröf,гроб
558,Kirche::N,kirkja,църква
559,Sünde::N,synd,грях
560,Gott::N,guð,бог
561,Arbeiter::N,verkamaður,работник
562,Chef::N,yfirmaður,шеф
563,Chef::N,yfirmaður,началник
564,Meister::N,meistari,майстор
565,Arzt::N,læknir,лекар
566,Lehrer::N,kennari,учител
567,Geld::N,peningar,пари
568,Geschäft::N,viðskipti,сделка
569,Laden::N,búð,дюкян
570,Laden::N,búð,магазин
571,Laden::N,verslun,дюкян
572,Laden::N,verslun,магазин
573,Preis::N,verð,цена
574,Ware::N,vara,стока
575,Nutzen::N,gagn,полза
576,Nutzen::N,gagn,облага
577,Reichtum::N,auður,богатство
578,Welt::N,veröld,свят
579,Land::N,land,страна
580,Staat::N,ríki,щат
581,Staat::N,ríki,държава
582,König::N,konungur,крал
583,Macht::N,vald,мощ
584,Macht::N,vald,власт
585,Grenze::N,landamæri,граница
586,Krieg::N,stríð,война
587,Feind::N,fjandmaður,враг
588,Feind::N,fjandmaður,неприятел
589,Gewalt::N,ofbeldi,сила
590,Gewalt::N,ofbeldi,насилие
591,Kampf::N,bardagi,борба
592,Kampf::N,bardagi,сражение
593,Bogen[Waffe]::N,bogi,лък
594,Pfeil::N,ör,стрела
595,Gewehr::N,byssa,пушка
596,Fehler::N,villa,грешка
597,Lüge::N,lygi,лъжа
598,Schaden::N,skemmd,повреда
599,Unglück::N,óhamingja,нещастие
600,Schuld::N,sök,вина
601,Alter::N,aldur,възраст
602,Schluss::N,lok,край
603,Schluss::N,endir,край
604,Zeit::N,tími,време
605,Tag::N,dagur,ден
606,Morgen::N,morgunn,утро
607,Morgen::N,morgunn,сутрин
608,Mittag::N,hádegi,обед
609,Mittag::N,hádegi,пладне
610,Abend::N,kvöld,вечер
611,Nacht::N,nótt,нощ
612,Woche::N,vika,седмица
613,Monat::N,mánuður,месец
614,Jahr::N,ár,година
615,Frühling::N,vor,пролет
616,Sommer::N,sumar,лято
617,Herbst::N,haust,есен
618,Winter::N,vetur,зима
619,Januar::N,janúar,януари
620,Februar::N,február,февруари
621,März::N,mars,март
622,April::N,apríl,април
623,Mai::N,maí,май
624,Juni::N,júní,юни
625,Juli::N,júlí,юли
626,August::N,ágúst,август
627,September::N,september,септември
628,Oktober::N,október,октомври
629,November::N,nóvember,ноември
630,Dezember::N,desember,декември
631,Montag::N,mánudagur,понеделник
632,Dienstag::N,þriðjudagur,вторник
633,Mittwoch::N,miðvikudagur,сряда
634,Donnerstag::N,fimmtudagur,четвъртък
635,Freitag::N,föstudagur,петък
636,Samstag::N,laugardagur,събота
637,Sonntag::N,sunnudagur,неделя
638,groß::A,stór,едър
639,groß::A,stór,голям
640,klein::A,lítill,малък
641,klein::A,lítill,дребен
642,lang::A,langur,дълъг
643,kurz::A,stuttur,къс
644,breit::A,breiður,широк
645,schmal::A,mjór,тесен
646,dicht::A,þéttur,гъст
647,dick[Gegenstand]::A,þykkur,дебел
648,dünn::A,þunnur,тънък
649,fein::A,fíngerður,фин
650,fein::A,fíngerður,тънък
651,fest::A,fastur,твърд
652,fest::A,fastur,плътен
653,flach::A,flatur,равен
654,flach::A,flatur,плосък
655,glatt::A,háll,гладък
656,glatt::A,sléttur,гладък
657,hart::A,harður,твърд
658,hart::A,harður,корав
659,weich::A,mjúkur,мек
660,rund::A,kringlóttur,кръгъл
661,spitz::A,oddhvass,островръх
662,scharf::A,beittur,остър
663,stumpf::A,bitlaus,тъп
664,schwer::A,þungur,тежък
665,schön::A,fagur,хубав
666,schön::A,fagur,красив
667,schön::A,fallegur,хубав
668,schön::A,fallegur,красив
669,heiß::A,heitur,жарък
670,warm::A,hlýr,топъл
671,warm::A,heitur,топъл
672,kalt::A,kaldur,студен
673,kühl::A,svalur,хладен
674,frisch::A,frískur,свеж
675,feucht::A,rakur,влажен
676,feucht::A,þvalur,влажен
677,nass::A,votur,мокър
678,nass::A,blautur,мокър
679,trocken::A,þurr,сух
680,voll::A,fullur,пълен
681,leer::A,tómur,празен
682,offen::A,opinn,откровен
683,geschlossen::A,lokaður,закрит
684,geschlossen::A,lokaður,затворен
685,sauber::A,þrifinn,чист
686,schmutzig::A,óhreinn,мръсен
687,schmutzig::A,sóðalegur,мръсен
688,roh::A,hrár,суров
689,reif::A,þroskaður,зрял
690,lecker::A,ljúffengur,вкусен
691,süß::A,sætur,сладък
692,bitter::A,beiskur,горчив
693,sauer::A,súr,кисел
694,hell::A,bjartur,ясен
695,hell::A,bjartur,светъл
696,dunkel::A,dimmur,тъмен
697,schwarz::A,svartur,черен
698,weiß::A,hvítur,бял
699,rot::A,rauður,червен
700,gelb::A,gulur,жълт
701,blau::A,blár,син
702,grün::A,grænn,зелен
703,grau::A,grár,сив
704,bunt::A,marglitur,шарен
705,bunt::A,marglitur,пъстър
706,billig::A,ódýr,евтин
707,teuer::A,dýr,скъп
708,wertvoll::A,verðmætur,ценен
709,blind::A,blindur,сляп
710,taub::A,heyrnarlaus,глух
711,kräftig::A,öflugur,силен
712,stark::A,sterkur,здрав
713,stark::A,sterkur,силен
714,schwach::A,veill,слаб
715,fett::A,feitur,тлъст
716,schlank::A,grannur,тънък
717,schlank::A,grannur,строен
718,schlank::A,spengilegur,тънък
719,schlank::A,spengilegur,строен
720,hübsch::A,snotur,хубав
721,hübsch::A,laglegur,хубав
722,böse::A,illur,зъл
723,böse::A,vondur,зъл
724,dumm::A,heimskur,глупав
725,faul::A,latur,ленив
726,faul::A,latur,мързелив
727,fleißig::A,iðinn,прилежен
728,geizig::A,nískur,скъпернически
729,klug::A,hygginn,умен
730,klug::A,hygginn,разумен
731,geschickt::A,fimur,умел
732,geschickt::A,fimur,сръчен
733,geschickt::A,laginn,умел
734,geschickt::A,laginn,сръчен
735,lieb::A,kær,мил
736,lieb::A,kær,драг
737,lieb::A,ljúfur,мил
738,lieb::A,ljúfur,драг
739,lustig::A,kátur,весел
740,sanft::A,blíður,нежен
741,sanft::A,blíður,кротък
742,hungrig::A,soltinn,гладен
743,hungrig::A,hungraður,гладен
744,krank::A,sjúkur,болен
745,nackt::A,nakinn,гол
746,traurig::A,dapur,тъжен
747,traurig::A,dapur,печален
748,traurig::A,hryggur,тъжен
749,traurig::A,hryggur,печален
750,lebendig::A,lifandi,жив
751,gut::A,góður,добър
752,schlecht::A,slæmur,лош
753,schlecht::A,lélegur,лош
754,richtig::A,réttur,правилен
755,schlimm::A,slæmur,лош
756,wahr::A,sannur,верен
757,wahr::A,sannur,истински
758,alt::A,gamall,стар
759,alt::A,gamall,древен
760,neu::A,nýr,нов
761,ehemalig::A,fyrrverandi,бивш
762,alt[Lebewesen]::A,gamall,стар
763,jung::A,ungur,млад
764,arm::A,vesall,беден
765,arm::A,fátækur,беден
766,reich::A,ríkur,богат
767,reich::A,auðugur,богат
768,bekannt::A,kunnugur,познат
769,bekannt::A,kunnugur,известен
770,berühmt::A,frægur,почут
771,berühmt::A,frægur,известен
772,fremd::A,framandi,чужд
773,fremd::A,ókunnugur,чужд
774,verschieden::A,ýmis,разен
775,verschieden::A,ýmis,различен
776,nah::A,nálægur,близък
777,fern::A,fjarri,далечен
778,fern::A,fjarlægur,далечен
779,linker::A,vinstri,ляв
780,rechter::A,hægri,прав
781,anderer::A,annar,друг
782,erster::A,fyrsti,пръв
783,erster::A,fyrsti,първи
784,zweiter::A,annar,втори
785,dritter::A,þriðji,трети
786,letzter::A,síðasti,последен
787,allein::ADV,einn,само
788,allein::ADV,aleinn,само
789,auf einmal::ADV,allt í einu,същевременно
790,zusammen::ADV,saman,заедно
791,lange::ADV,lengi,дълго
792,plötzlich::ADV,skyndilega,изведнъж
793,sofort::ADV,strax,веднага
794,sofort::ADV,þegar í stað,веднага
795,später::ADV,seinna,по-късно
796,jetzt::ADV,nú,сега
797,jetzt::ADV,núna,сега
798,heute::ADV,í dag,днес
799,morgen::ADV,á morgun,утре
800,bald::ADV,brátt,скоро
801,bald::ADV,bráðum,скоро
802,dann::ADV,svo,после
803,dann::ADV,svo,тогава
804,dann::ADV,síðan,после
805,dann::ADV,síðan,тогава
806,gestern::ADV,í gær,вчера
807,einst::ADV,forðum,някога
808,damals::ADV,þá,тогава
809,damals::ADV,á þeim tímum,тогава
810,danach::ADV,á eftir því,после
811,danach::ADV,á eftir því,след това
812,vorher::ADV,áður,преди
813,vorher::ADV,áður,преди това
814,zuerst::ADV,fyrst,най-напред
815,einmal::ADV,einu sinni,веднъж
816,einmal::ADV,einu sinni,един път
817,manchmal::ADV,stundum,понякога
818,oft::ADV,oft,често
819,immer::ADV,alltaf,винаги
820,immer::ADV,sífellt,винаги
821,niemals::ADV,aldrei,никога
822,hier::ADV,hér,тук
823,hier::ADV,hér,тука
824,hierhin::ADV,hingað,насам
825,von hier::ADV,héðan,оттук
826,von hier::ADV,héðan,оттука
827,dort::ADV,þar,там
828,dort::ADV,þarna,там
829,dorthin::ADV,þangað,натам
830,dorthin::ADV,þangað,нататък
831,geradeaus::ADV,beint áfram,направо
832,vorwärts::ADV,áfram,напред
833,rückwärts::ADV,aftur á bak,назад
834,zurück::ADV,aftur,обратно
835,zurück::ADV,til baka,обратно
836,unten::ADV,niðri,долу
837,unten::ADV,fyrir neðan,долу
838,hinab::ADV,niður,надолу
839,hinab::ADV,niður eftir,надолу
840,oben::ADV,uppi,горе
841,hinauf::ADV,upp,нагоре
842,hinauf::ADV,upp eftir,нагоре
