,Concept_ID,ab,de
484,Mai::N,маи,Mai
485,Juni::N,иуун,Juni
486,Juli::N,иууль,Juli
487,August::N,август,August
488,September::N,сентиабр,September
489,Oktober::N,октиабр,Oktober
490,November::N,ноиабр,November
491,Dezember::N,декабр,Dezember
492,Montag::N,ашəахьа,Montag
493,Dienstag::N,аҩаша,Dienstag
494,Mittwoch::N,ахаша,Mittwoch
495,Donnerstag::N,аҧшьаша,Donnerstag
496,Freitag::N,ахəаша,Freitag
497,Samstag::N,асабша,Samstag
498,Sonntag::N,амҽыша,Sonntag
499,groß::A,аду,groß
500,klein::A,амаҷ,klein
501,lang::A,ахəхəа,lang
502,kurz::A,акьаҿ,kurz
503,breit::A,аиужь,breit
504,breit::A,аиҵых,breit
505,schmal::A,аҭшəа,schmal
506,dicht::A,аилач,dicht
507,dick[Gegenstand]::A,ажəпа,dick
508,fein::A,апа,fein
